step,task,acc_pretrain_T0,acc_pretrain_T1,acc_pretrain_T2,acc_pretrain_T3,acc_pretrain_T4,online_acc_drifta50_sgd_0.01,detected_drift_drifta50_sgd_0.01,diff_X_t_drifta50_sgd_0.01,Z_t_drifta50_sgd_0.01,p_0t_drifta50_sgd_0.01,repeat_drifta50_sgd_0.01,times_drifta50_sgd_0.01,train_batches_drifta50_sgd_0.01,online_acc_drifta_conv_sgd_0.01,detected_drift_drifta_conv_sgd_0.01,diff_X_t_drifta_conv_sgd_0.01,Z_t_drifta_conv_sgd_0.01,p_0t_drifta_conv_sgd_0.01,repeat_drifta_conv_sgd_0.01,times_drifta_conv_sgd_0.01,train_batches_drifta_conv_sgd_0.01,online_acc_2drifta50_sgd_0.01,detected_drift_2drifta50_sgd_0.01,diff_X_t_2drifta50_sgd_0.01,Z_t_2drifta50_sgd_0.01,p_0t_2drifta50_sgd_0.01,repeat_2drifta50_sgd_0.01,times_2drifta50_sgd_0.01,train_batches_2drifta50_sgd_0.01,online_acc_2drifta_conv_sgd_0.01,detected_drift_2drifta_conv_sgd_0.01,diff_X_t_2drifta_conv_sgd_0.01,Z_t_2drifta_conv_sgd_0.01,p_0t_2drifta_conv_sgd_0.01,repeat_2drifta_conv_sgd_0.01,times_2drifta_conv_sgd_0.01,train_batches_2drifta_conv_sgd_0.01,online_acc_cont_conv_sgd_0.01,repeat_cont_conv_sgd_0.01,times_cont_conv_sgd_0.01,train_batches_cont_conv_sgd_0.01,online_acc_catf_sgd_0.01,repeat_catf_sgd_0.01,times_catf_sgd_0.01,train_batches_catf_sgd_0.01,online_acc_conr1_sgd_0.01,repeat_conr1_sgd_0.01,times_conr1_sgd_0.01,train_batches_conr1_sgd_0.01,online_acc_conr10_sgd_0.01,repeat_conr10_sgd_0.01,times_conr10_sgd_0.01,train_batches_conr10_sgd_0.01,online_acc_conr25_sgd_0.01,repeat_conr25_sgd_0.01,times_conr25_sgd_0.01,train_batches_conr25_sgd_0.01,online_acc_conr50_sgd_0.01,repeat_conr50_sgd_0.01,times_conr50_sgd_0.01,train_batches_conr50_sgd_0.01,acc_drifta50_sgd_0.01_T0,acc_drifta50_sgd_0.01_T1,acc_drifta50_sgd_0.01_T2,acc_drifta50_sgd_0.01_T3,acc_drifta50_sgd_0.01_T4,acc_drifta_conv_sgd_0.01_T0,acc_drifta_conv_sgd_0.01_T1,acc_drifta_conv_sgd_0.01_T2,acc_drifta_conv_sgd_0.01_T3,acc_drifta_conv_sgd_0.01_T4,acc_2drifta50_sgd_0.01_T0,acc_2drifta50_sgd_0.01_T1,acc_2drifta50_sgd_0.01_T2,acc_2drifta50_sgd_0.01_T3,acc_2drifta50_sgd_0.01_T4,acc_2drifta_conv_sgd_0.01_T0,acc_2drifta_conv_sgd_0.01_T1,acc_2drifta_conv_sgd_0.01_T2,acc_2drifta_conv_sgd_0.01_T3,acc_2drifta_conv_sgd_0.01_T4,acc_cont_conv_sgd_0.01_T0,acc_cont_conv_sgd_0.01_T1,acc_cont_conv_sgd_0.01_T2,acc_cont_conv_sgd_0.01_T3,acc_cont_conv_sgd_0.01_T4,acc_catf_sgd_0.01_T0,acc_catf_sgd_0.01_T1,acc_catf_sgd_0.01_T2,acc_catf_sgd_0.01_T3,acc_catf_sgd_0.01_T4,acc_conr1_sgd_0.01_T0,acc_conr1_sgd_0.01_T1,acc_conr1_sgd_0.01_T2,acc_conr1_sgd_0.01_T3,acc_conr1_sgd_0.01_T4,acc_conr10_sgd_0.01_T0,acc_conr10_sgd_0.01_T1,acc_conr10_sgd_0.01_T2,acc_conr10_sgd_0.01_T3,acc_conr10_sgd_0.01_T4,acc_conr25_sgd_0.01_T0,acc_conr25_sgd_0.01_T1,acc_conr25_sgd_0.01_T2,acc_conr25_sgd_0.01_T3,acc_conr25_sgd_0.01_T4,acc_conr50_sgd_0.01_T0,acc_conr50_sgd_0.01_T1,acc_conr50_sgd_0.01_T2,acc_conr50_sgd_0.01_T3,acc_conr50_sgd_0.01_T4,acc_avg_drifta50_sgd_0.01,acc_avg_drifta_conv_sgd_0.01,acc_avg_2drifta50_sgd_0.01,acc_avg_2drifta_conv_sgd_0.01,acc_avg_cont_conv_sgd_0.01,acc_avg_catf_sgd_0.01,acc_avg_conr1_sgd_0.01,acc_avg_conr10_sgd_0.01,acc_avg_conr25_sgd_0.01,acc_avg_conr50_sgd_0.01,acc_avg_pretrain,forget_drifta50_sgd_0.01_T0,forget_drifta50_sgd_0.01_T1,forget_drifta50_sgd_0.01_T2,forget_drifta50_sgd_0.01_T3,forget_drifta50_sgd_0.01_T4,forget_avg_drifta50_sgd_0.01,forget_drifta_conv_sgd_0.01_T0,forget_drifta_conv_sgd_0.01_T1,forget_drifta_conv_sgd_0.01_T2,forget_drifta_conv_sgd_0.01_T3,forget_drifta_conv_sgd_0.01_T4,forget_avg_drifta_conv_sgd_0.01,forget_2drifta50_sgd_0.01_T0,forget_2drifta50_sgd_0.01_T1,forget_2drifta50_sgd_0.01_T2,forget_2drifta50_sgd_0.01_T3,forget_2drifta50_sgd_0.01_T4,forget_avg_2drifta50_sgd_0.01,forget_2drifta_conv_sgd_0.01_T0,forget_2drifta_conv_sgd_0.01_T1,forget_2drifta_conv_sgd_0.01_T2,forget_2drifta_conv_sgd_0.01_T3,forget_2drifta_conv_sgd_0.01_T4,forget_avg_2drifta_conv_sgd_0.01,forget_cont_conv_sgd_0.01_T0,forget_cont_conv_sgd_0.01_T1,forget_cont_conv_sgd_0.01_T2,forget_cont_conv_sgd_0.01_T3,forget_cont_conv_sgd_0.01_T4,forget_avg_cont_conv_sgd_0.01,forget_catf_sgd_0.01_T0,forget_catf_sgd_0.01_T1,forget_catf_sgd_0.01_T2,forget_catf_sgd_0.01_T3,forget_catf_sgd_0.01_T4,forget_avg_catf_sgd_0.01,forget_conr1_sgd_0.01_T0,forget_conr1_sgd_0.01_T1,forget_conr1_sgd_0.01_T2,forget_conr1_sgd_0.01_T3,forget_conr1_sgd_0.01_T4,forget_avg_conr1_sgd_0.01,forget_conr10_sgd_0.01_T0,forget_conr10_sgd_0.01_T1,forget_conr10_sgd_0.01_T2,forget_conr10_sgd_0.01_T3,forget_conr10_sgd_0.01_T4,forget_avg_conr10_sgd_0.01,forget_conr25_sgd_0.01_T0,forget_conr25_sgd_0.01_T1,forget_conr25_sgd_0.01_T2,forget_conr25_sgd_0.01_T3,forget_conr25_sgd_0.01_T4,forget_avg_conr25_sgd_0.01,forget_conr50_sgd_0.01_T0,forget_conr50_sgd_0.01_T1,forget_conr50_sgd_0.01_T2,forget_conr50_sgd_0.01_T3,forget_conr50_sgd_0.01_T4,forget_avg_conr50_sgd_0.01
0,0,0.805,0.602,0.732,0.844,0.854,0.84375,False,0.15625,0.03125,0.15625,0,2.258755922317505,0,0.84375,False,0.15625,0.03125,0.15625,0,2.2334113121032715,0,0.84375,False,0.15625,0.03125,0.15625,0,2.8037829399108887,0,0.84375,False,0.15625,0.03125,0.15625,0,1.8067820072174072,0,0.84375,27,7.412739276885986,54,0.84375,1,3.8897340297698975,1,0.84375,1,5.041306257247925,2,0.84375,10,5.641913175582886,20,0.84375,25,6.722700357437134,50,0.84375,50,8.57538366317749,100,0.805,0.602,0.732,0.844,0.854,0.805,0.602,0.732,0.844,0.854,0.805,0.602,0.732,0.844,0.854,0.805,0.602,0.732,0.844,0.854,0.844,0.626,0.751,0.874,0.874,0.806,0.602,0.734,0.843,0.852,0.806,0.604,0.734,0.842,0.855,0.826,0.608,0.74,0.858,0.866,0.84,0.624,0.75,0.871,0.874,0.86,0.65,0.75,0.873,0.886,0.76739997,0.76739997,0.76739997,0.76739997,0.7938,0.76739997,0.76820004,0.7796,0.7918,0.8038,0.76739997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009999871253967285,0.001999974250793457,0.0005999922752380372,0.0,0.0,0.0,0.001999974250793457,0.0,0.0003999948501586914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,0.805,0.602,0.732,0.844,0.854,0.8125,False,0.03125,0.0625,0.171875,0,1.290644645690918,0,0.8125,False,0.03125,0.0625,0.171875,0,1.2965028285980225,0,0.8125,False,0.03125,0.0625,0.171875,0,1.3883776664733887,0,0.8125,False,0.03125,0.0625,0.171875,0,1.4273252487182617,0,0.90625,10,2.0057859420776367,20,0.84375,1,0.022440433502197266,1,0.84375,1,1.2768616676330566,2,0.875,10,1.903353214263916,20,0.875,25,2.910229206085205,50,0.90625,50,4.632430553436279,100,0.805,0.602,0.732,0.844,0.854,0.805,0.602,0.732,0.844,0.854,0.805,0.602,0.732,0.844,0.854,0.805,0.602,0.732,0.844,0.854,0.863,0.642,0.747,0.87,0.878,0.812,0.605,0.734,0.844,0.854,0.811,0.606,0.735,0.844,0.856,0.848,0.626,0.736,0.862,0.875,0.869,0.652,0.74,0.87,0.886,0.875,0.667,0.735,0.878,0.892,0.76739997,0.76739997,0.76739997,0.76739997,0.79999995,0.7698,0.7703999,0.7894,0.80340004,0.80939996,0.76739997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0040000081062316895,0.0040000081062316895,0.0,0.0016000032424926757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0040000081062316895,0.0,0.0,0.0008000016212463378,0.0,0.0,0.009999990463256836,0.0009999871253967285,0.0,0.002199995517730713,0.0,0.0,0.014999985694885254,0.0,0.0,0.0029999971389770507
2,0,0.805,0.602,0.732,0.844,0.854,0.875,False,-0.0625,0.07500000000000001,0.15625,0,1.2866573333740234,0,0.875,False,-0.0625,0.07500000000000001,0.15625,0,1.2904279232025146,0,0.875,False,-0.0625,0.07500000000000001,0.15625,0,1.3537743091583252,0,0.875,False,-0.0625,0.07500000000000001,0.15625,0,1.375251054763794,0,0.90625,25,3.1030869483947754,50,0.875,1,0.020523786544799805,1,0.875,1,1.2696237564086914,2,0.875,10,1.9285614490509033,20,0.90625,25,2.9086997509002686,50,0.875,50,4.637912273406982,100,0.805,0.602,0.732,0.844,0.854,0.805,0.602,0.732,0.844,0.854,0.805,0.602,0.732,0.844,0.854,0.805,0.602,0.732,0.844,0.854,0.878,0.666,0.732,0.874,0.882,0.814,0.606,0.732,0.844,0.857,0.814,0.606,0.736,0.846,0.859,0.863,0.648,0.734,0.868,0.876,0.882,0.672,0.732,0.878,0.889,0.896,0.681,0.723,0.876,0.879,0.76739997,0.76739997,0.76739997,0.76739997,0.8064,0.77059996,0.7722,0.79779994,0.8106,0.811,0.76739997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018999993801116943,0.0,0.0,0.0037999987602233888,0.0,0.0,0.0020000338554382324,0.0,0.0,0.0004000067710876465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059999823570251465,0.0,0.0,0.0011999964714050292,0.0,0.0,0.018000006675720215,0.0,0.0,0.003600001335144043,0.0,0.0,0.027000010013580322,0.0020000338554382324,0.013000011444091797,0.00840001106262207
3,0,0.805,0.602,0.732,0.844,0.854,0.8125,False,0.0625,0.09750000000000002,0.1640625,0,1.3119006156921387,0,0.8125,False,0.0625,0.09750000000000002,0.1640625,0,1.325535535812378,0,0.8125,False,0.0625,0.09750000000000002,0.1640625,0,1.3449630737304688,0,0.8125,True,0.0625,0.09750000000000002,0.1640625,12,7.8723437786102295,72,0.875,5,1.6613743305206299,10,0.84375,1,0.024244070053100586,1,0.84375,1,1.3016343116760254,2,0.875,10,1.8626830577850342,20,0.90625,25,3.013679027557373,50,0.90625,50,4.619914770126343,100,0.805,0.602,0.732,0.844,0.854,0.805,0.602,0.732,0.844,0.854,0.805,0.602,0.732,0.844,0.854,0.866,0.656,0.726,0.866,0.88,0.884,0.667,0.732,0.876,0.881,0.818,0.605,0.732,0.847,0.856,0.817,0.61,0.734,0.848,0.859,0.872,0.658,0.73,0.867,0.882,0.89,0.67,0.727,0.88,0.884,0.914,0.674,0.71,0.871,0.872,0.76739997,0.76739997,0.76739997,0.7988,0.80799997,0.77160007,0.7736,0.80179995,0.8101999,0.80820006,0.76739997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059999823570251465,0.0,0.0,0.0011999964714050292,0.0,0.0,0.018999993801116943,0.0,0.001000046730041504,0.0040000081062316895,0.0,0.0009999871253967285,0.0020000338554382324,0.0,0.0009999871253967285,0.0008000016212463378,0.0,0.0,0.001999974250793457,0.0,0.0,0.0003999948501586914,0.0,0.0,0.009999990463256836,0.0009999871253967285,0.0,0.002199995517730713,0.0,0.001999974250793457,0.023000001907348633,0.0,0.004999995231628418,0.005999994277954101,0.0,0.006999969482421875,0.04000002145767212,0.00700002908706665,0.020000040531158447,0.014800012111663818
4,0,0.805,0.602,0.732,0.844,0.854,0.6875,False,0.125,0.1405,0.19375,0,1.2915551662445068,0,0.6875,False,0.125,0.1405,0.19375,0,1.3018109798431396,0,0.6875,False,0.125,0.1405,0.19375,0,1.3798813819885254,0,0.71875,False,0.09375,0.13425,0.1875,0,1.4080936908721924,0,0.71875,56,5.386900901794434,112,0.6875,1,0.026456832885742188,1,0.6875,1,1.310962438583374,2,0.71875,10,1.9386506080627441,20,0.71875,25,3.0010435581207275,50,0.78125,50,4.7226176261901855,100,0.805,0.602,0.732,0.844,0.854,0.805,0.602,0.732,0.844,0.854,0.805,0.602,0.732,0.844,0.854,0.866,0.656,0.726,0.866,0.88,0.917,0.632,0.736,0.882,0.864,0.821,0.604,0.732,0.846,0.858,0.824,0.609,0.737,0.852,0.86,0.894,0.65,0.735,0.872,0.874,0.916,0.64,0.728,0.88,0.869,0.932,0.626,0.732,0.872,0.854,0.76739997,0.76739997,0.76739997,0.7988,0.8062,0.7722,0.77639997,0.80499995,0.8066,0.80319995,0.76739997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059999823570251465,0.0,0.0,0.0011999964714050292,0.0,0.034999966621398926,0.014999985694885254,0.0,0.018000006675720215,0.013599991798400879,0.0,0.0020000338554382324,0.0020000338554382324,0.0009999871253967285,0.0,0.0010000109672546388,0.0,0.0009999871253967285,0.0,0.0,0.0,0.0001999974250793457,0.0,0.008000016212463379,0.004999995231628418,0.0,0.008000016212463379,0.004200005531311035,0.0,0.03200000524520874,0.022000014781951904,0.0,0.019999980926513672,0.014800000190734863,0.0,0.05500000715255737,0.018000006675720215,0.006000041961669922,0.03800004720687866,0.023400020599365235
5,0,0.805,0.602,0.732,0.844,0.854,0.84375,False,-0.15625,0.14365,0.1875,0,1.3253087997436523,0,0.84375,False,-0.15625,0.14365,0.1875,0,1.325618028640747,0,0.84375,True,-0.15625,0.16927360000000002,0.1875,23,12.219309568405151,230,0.84375,False,-0.125,0.13865,0.18229166666666666,0,1.3791289329528809,0,0.9375,8,1.8660130500793457,16,0.84375,1,0.022400617599487305,1,0.84375,1,1.272942304611206,2,0.9375,10,1.9485008716583252,20,0.9375,25,2.9352974891662598,50,0.9375,50,4.679221153259277,100,0.805,0.602,0.732,0.844,0.854,0.805,0.602,0.732,0.844,0.854,0.906,0.663,0.726,0.883,0.872,0.866,0.656,0.726,0.866,0.88,0.922,0.638,0.732,0.882,0.859,0.824,0.604,0.732,0.848,0.856,0.827,0.61,0.734,0.854,0.861,0.9,0.652,0.736,0.876,0.868,0.924,0.654,0.727,0.878,0.854,0.936,0.654,0.733,0.864,0.84,0.76739997,0.76739997,0.81000006,0.7988,0.8066,0.77279997,0.77720004,0.8064,0.80740005,0.8054,0.76739997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059999823570251465,0.0,0.0,0.0011999964714050292,0.0,0.0,0.0059999823570251465,0.0,0.0,0.0011999964714050292,0.0,0.02899998426437378,0.018999993801116943,0.0,0.023000001907348633,0.01419999599456787,0.0,0.0020000338554382324,0.0020000338554382324,0.0,0.001999974250793457,0.0012000083923339843,0.0,0.0,0.0029999613761901855,0.0,0.0,0.0005999922752380372,0.0,0.0059999823570251465,0.0040000081062316895,0.0,0.0140000581741333,0.0048000097274780275,0.0,0.018000006675720215,0.023000001907348633,0.001999974250793457,0.0350000262260437,0.015600001811981202,0.0,0.027000010013580322,0.017000019550323486,0.013999998569488525,0.05200004577636719,0.022000014781951904
6,0,0.805,0.602,0.732,0.844,0.854,0.875,False,-0.03125,0.13992000000000002,0.17857142857142855,0,1.3061118125915527,0,0.875,False,-0.03125,0.13992000000000002,0.17857142857142855,0,1.4254035949707031,0,0.96875,False,-0.125,0.12117000000000001,0.16517857142857142,0,1.3928370475769043,0,0.90625,False,-0.0625,0.12967,0.16964285714285712,0,1.4309718608856201,0,1.0,1,1.3151600360870361,2,0.90625,1,0.021416425704956055,1,0.875,1,1.280282974243164,2,0.96875,10,1.9260714054107666,20,1.0,25,2.9329161643981934,50,1.0,50,4.632358074188232,100,0.805,0.602,0.732,0.844,0.854,0.805,0.602,0.732,0.844,0.854,0.906,0.663,0.726,0.883,0.872,0.866,0.656,0.726,0.866,0.88,0.921,0.639,0.731,0.882,0.86,0.826,0.606,0.732,0.849,0.857,0.828,0.612,0.733,0.854,0.862,0.902,0.657,0.734,0.881,0.871,0.922,0.659,0.724,0.876,0.856,0.934,0.665,0.73,0.87,0.846,0.76739997,0.76739997,0.81000006,0.7988,0.8066,0.774,0.77779996,0.809,0.8073999,0.809,0.76739997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059999823570251465,0.0,0.0,0.0011999964714050292,0.0,0.0,0.0059999823570251465,0.0,0.0,0.0011999964714050292,0.0009999871253967285,0.02799999713897705,0.019999980926513672,0.0,0.022000014781951904,0.01419999599456787,0.0,0.0,0.0020000338554382324,0.0,0.0009999871253967285,0.0006000041961669922,0.0,0.0,0.0040000081062316895,0.0,0.0,0.0008000016212463378,0.0,0.0009999871253967285,0.0059999823570251465,0.0,0.01100003719329834,0.003600001335144043,0.0020000338554382324,0.013000011444091797,0.026000022888183594,0.0040000081062316895,0.03299999237060547,0.015600013732910156,0.001999974250793457,0.015999972820281982,0.019999980926513672,0.008000016212463379,0.046000003814697266,0.01839998960494995
7,0,0.805,0.602,0.732,0.844,0.854,0.9375,False,-0.0625,0.12443600000000002,0.16406249999999997,0,1.3221657276153564,0,0.9375,False,-0.0625,0.12443600000000002,0.16406249999999997,0,1.340719223022461,0,0.9375,False,0.03125,0.10943600000000002,0.15234375,0,1.389937162399292,0,0.9375,False,-0.03125,0.116236,0.15624999999999997,0,1.3703064918518066,0,0.9375,7,1.7705981731414795,14,0.9375,1,0.025277137756347656,1,0.9375,1,1.3374607563018799,2,0.9375,10,1.9073548316955566,20,0.9375,25,2.906144142150879,50,0.9375,50,4.722339153289795,100,0.805,0.602,0.732,0.844,0.854,0.805,0.602,0.732,0.844,0.854,0.906,0.663,0.726,0.883,0.872,0.866,0.656,0.726,0.866,0.88,0.922,0.646,0.736,0.882,0.854,0.828,0.608,0.732,0.85,0.857,0.828,0.614,0.733,0.854,0.862,0.902,0.666,0.734,0.88,0.87,0.928,0.67,0.728,0.874,0.837,0.938,0.674,0.736,0.858,0.8,0.76739997,0.76739997,0.81000006,0.7988,0.80799997,0.775,0.7782,0.8104,0.80740005,0.80120003,0.76739997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059999823570251465,0.0,0.0,0.0011999964714050292,0.0,0.0,0.0059999823570251465,0.0,0.0,0.0011999964714050292,0.0,0.0209999680519104,0.014999985694885254,0.0,0.028000056743621826,0.012800002098083496,0.0,0.0,0.0020000338554382324,0.0,0.0009999871253967285,0.0006000041961669922,0.0,0.0,0.0040000081062316895,0.0,0.0,0.0008000016212463378,0.0,0.0,0.0059999823570251465,0.0009999871253967285,0.012000024318695068,0.0037999987602233888,0.0,0.001999974250793457,0.022000014781951904,0.0059999823570251465,0.05199998617172241,0.016399991512298585,0.0,0.006999969482421875,0.013999998569488525,0.020000040531158447,0.09200000762939453,0.026600003242492676
8,0,0.805,0.602,0.732,0.844,0.854,0.875,False,0.0625,0.12454880000000002,0.15972222222222218,0,1.3084213733673096,0,0.875,False,0.0625,0.12454880000000002,0.15972222222222218,0,1.311187744140625,0,0.9375,False,0.0,0.10004880000000002,0.1423611111111111,0,1.9763689041137695,0,0.9375,False,0.0,0.10548880000000001,0.14583333333333331,0,1.3827879428863525,0,0.9375,11,2.0785634517669678,22,0.875,1,0.020507097244262695,1,0.90625,1,1.2818481922149658,2,0.9375,10,1.944981336593628,20,0.96875,25,2.955247402191162,50,0.96875,50,4.736242771148682,100,0.805,0.602,0.732,0.844,0.854,0.805,0.602,0.732,0.844,0.854,0.906,0.663,0.726,0.883,0.872,0.866,0.656,0.726,0.866,0.88,0.92,0.646,0.744,0.876,0.858,0.831,0.608,0.731,0.85,0.857,0.832,0.614,0.734,0.854,0.863,0.904,0.664,0.739,0.878,0.87,0.926,0.662,0.742,0.868,0.844,0.936,0.662,0.76,0.852,0.826,0.76739997,0.76739997,0.81000006,0.7988,0.8087999,0.7754,0.7794,0.811,0.8084,0.8072001,0.76739997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059999823570251465,0.0,0.0,0.0011999964714050292,0.0,0.0,0.0059999823570251465,0.0,0.0,0.0011999964714050292,0.001999974250793457,0.0209999680519104,0.006999969482421875,0.006000041961669922,0.024000048637390137,0.012000000476837159,0.0,0.0,0.003000020980834961,0.0,0.0009999871253967285,0.0008000016212463378,0.0,0.0,0.0029999613761901855,0.0,0.0,0.0005999922752380372,0.0,0.0020000338554382324,0.0009999871253967285,0.0029999613761901855,0.012000024318695068,0.003600001335144043,0.001999974250793457,0.009999990463256836,0.008000016212463379,0.012000024318695068,0.04500001668930054,0.015400004386901856,0.0020000338554382324,0.018999993801116943,0.0,0.026000022888183594,0.06600004434585571,0.022600018978118898
9,0,0.805,0.602,0.732,0.844,0.854,0.8125,False,0.0625,0.13713904000000002,0.16249999999999998,0,1.3318140506744385,0,0.8125,False,0.0625,0.13713904000000002,0.16249999999999998,0,1.3138649463653564,0,0.9375,False,0.0,0.09253904000000002,0.134375,0,1.4089999198913574,0,0.90625,False,0.03125,0.10314104000000002,0.14062499999999997,0,1.4122984409332275,0,0.96875,1,1.367103099822998,2,0.875,1,0.026905059814453125,1,0.875,1,1.2902579307556152,2,0.9375,10,1.941950798034668,20,0.96875,25,2.923067331314087,50,0.96875,50,4.638306379318237,100,0.805,0.602,0.732,0.844,0.854,0.805,0.602,0.732,0.844,0.854,0.906,0.663,0.726,0.883,0.872,0.866,0.656,0.726,0.866,0.88,0.92,0.646,0.742,0.876,0.858,0.833,0.606,0.732,0.85,0.858,0.838,0.615,0.736,0.856,0.862,0.908,0.66,0.736,0.878,0.864,0.93,0.652,0.743,0.868,0.84,0.94,0.656,0.752,0.854,0.824,0.76739997,0.76739997,0.81000006,0.7988,0.8084,0.7758,0.7814,0.8092,0.8066,0.8052,0.76739997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059999823570251465,0.0,0.0,0.0011999964714050292,0.0,0.0,0.0059999823570251465,0.0,0.0,0.0011999964714050292,0.001999974250793457,0.0209999680519104,0.009000003337860107,0.006000041961669922,0.024000048637390137,0.012400007247924805,0.0,0.001999974250793457,0.0020000338554382324,0.0,0.0,0.0008000016212463378,0.0,0.0,0.0009999871253967285,0.0,0.0009999871253967285,0.0003999948501586914,0.0,0.0059999823570251465,0.0040000081062316895,0.0029999613761901855,0.018000006675720215,0.006199991703033448,0.0,0.019999980926513672,0.00700002908706665,0.012000024318695068,0.04900002479553223,0.017600011825561524,0.0,0.02499997615814209,0.008000016212463379,0.024000048637390137,0.06800001859664917,0.025000011920928954
