step,task,acc_pretrain_T0,acc_pretrain_T1,acc_pretrain_T2,acc_pretrain_T3,acc_pretrain_T4,online_acc_cont_conv_sgd_0.01,repeat_cont_conv_sgd_0.01,times_cont_conv_sgd_0.01,train_batches_cont_conv_sgd_0.01,online_acc_catf_sgd_0.01,repeat_catf_sgd_0.01,times_catf_sgd_0.01,train_batches_catf_sgd_0.01,online_acc_conr1_sgd_0.01,repeat_conr1_sgd_0.01,times_conr1_sgd_0.01,train_batches_conr1_sgd_0.01,online_acc_conr10_sgd_0.01,repeat_conr10_sgd_0.01,times_conr10_sgd_0.01,train_batches_conr10_sgd_0.01,online_acc_conr25_sgd_0.01,repeat_conr25_sgd_0.01,times_conr25_sgd_0.01,train_batches_conr25_sgd_0.01,online_acc_conr50_sgd_0.01,repeat_conr50_sgd_0.01,times_conr50_sgd_0.01,train_batches_conr50_sgd_0.01,acc_cont_conv_sgd_0.01_T0,acc_cont_conv_sgd_0.01_T1,acc_cont_conv_sgd_0.01_T2,acc_cont_conv_sgd_0.01_T3,acc_cont_conv_sgd_0.01_T4,acc_catf_sgd_0.01_T0,acc_catf_sgd_0.01_T1,acc_catf_sgd_0.01_T2,acc_catf_sgd_0.01_T3,acc_catf_sgd_0.01_T4,acc_conr1_sgd_0.01_T0,acc_conr1_sgd_0.01_T1,acc_conr1_sgd_0.01_T2,acc_conr1_sgd_0.01_T3,acc_conr1_sgd_0.01_T4,acc_conr10_sgd_0.01_T0,acc_conr10_sgd_0.01_T1,acc_conr10_sgd_0.01_T2,acc_conr10_sgd_0.01_T3,acc_conr10_sgd_0.01_T4,acc_conr25_sgd_0.01_T0,acc_conr25_sgd_0.01_T1,acc_conr25_sgd_0.01_T2,acc_conr25_sgd_0.01_T3,acc_conr25_sgd_0.01_T4,acc_conr50_sgd_0.01_T0,acc_conr50_sgd_0.01_T1,acc_conr50_sgd_0.01_T2,acc_conr50_sgd_0.01_T3,acc_conr50_sgd_0.01_T4,acc_avg_cont_conv_sgd_0.01,acc_avg_catf_sgd_0.01,acc_avg_conr1_sgd_0.01,acc_avg_conr10_sgd_0.01,acc_avg_conr25_sgd_0.01,acc_avg_conr50_sgd_0.01,acc_avg_pretrain,forget_cont_conv_sgd_0.01_T0,forget_cont_conv_sgd_0.01_T1,forget_cont_conv_sgd_0.01_T2,forget_cont_conv_sgd_0.01_T3,forget_cont_conv_sgd_0.01_T4,forget_avg_cont_conv_sgd_0.01,forget_catf_sgd_0.01_T0,forget_catf_sgd_0.01_T1,forget_catf_sgd_0.01_T2,forget_catf_sgd_0.01_T3,forget_catf_sgd_0.01_T4,forget_avg_catf_sgd_0.01,forget_conr1_sgd_0.01_T0,forget_conr1_sgd_0.01_T1,forget_conr1_sgd_0.01_T2,forget_conr1_sgd_0.01_T3,forget_conr1_sgd_0.01_T4,forget_avg_conr1_sgd_0.01,forget_conr10_sgd_0.01_T0,forget_conr10_sgd_0.01_T1,forget_conr10_sgd_0.01_T2,forget_conr10_sgd_0.01_T3,forget_conr10_sgd_0.01_T4,forget_avg_conr10_sgd_0.01,forget_conr25_sgd_0.01_T0,forget_conr25_sgd_0.01_T1,forget_conr25_sgd_0.01_T2,forget_conr25_sgd_0.01_T3,forget_conr25_sgd_0.01_T4,forget_avg_conr25_sgd_0.01,forget_conr50_sgd_0.01_T0,forget_conr50_sgd_0.01_T1,forget_conr50_sgd_0.01_T2,forget_conr50_sgd_0.01_T3,forget_conr50_sgd_0.01_T4,forget_avg_conr50_sgd_0.01
0,0,0.898,0.634,0.74,0.794,0.77,0.90625,1,5.377679347991943,2,0.90625,1,4.859479665756226,1,0.90625,1,3.856227397918701,2,0.90625,10,2.9478342533111572,20,0.90625,25,3.0989575386047363,50,0.90625,50,4.155812740325928,100,0.898,0.636,0.742,0.794,0.776,0.9,0.633,0.742,0.795,0.772,0.898,0.636,0.742,0.794,0.776,0.902,0.647,0.754,0.802,0.803,0.898,0.658,0.784,0.81,0.824,0.882,0.672,0.794,0.82,0.848,0.7692,0.7684001,0.7692,0.7816,0.7948,0.80319995,0.7672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009999871253967285,0.0,0.0,0.0,0.0001999974250793457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015999972820281982,0.0,0.0,0.0,0.0,0.0031999945640563965
1,0,0.898,0.634,0.74,0.794,0.77,0.96875,46,2.3378584384918213,92,0.96875,1,0.018430233001708984,1,0.96875,1,0.6078939437866211,2,0.96875,10,0.9199137687683105,20,0.96875,25,1.6626827716827393,50,0.96875,50,2.35135817527771,100,0.87,0.69,0.788,0.81,0.852,0.9,0.634,0.743,0.794,0.771,0.898,0.638,0.744,0.794,0.78,0.896,0.662,0.774,0.806,0.822,0.882,0.682,0.792,0.814,0.851,0.876,0.689,0.794,0.814,0.868,0.80200005,0.7684,0.7708,0.792,0.8042,0.80820006,0.7672,0.02799999713897705,0.0,0.0,0.0,0.0,0.00559999942779541,0.0,0.0,0.0,0.0009999871253967285,0.0009999871253967285,0.0003999948501586914,0.0,0.0,0.0,0.0,0.0,0.0,0.0059999823570251465,0.0,0.0,0.0,0.0,0.0011999964714050292,0.015999972820281982,0.0,0.0,0.0,0.0,0.0031999945640563965,0.022000014781951904,0.0,0.0,0.0059999823570251465,0.0,0.00559999942779541
2,0,0.898,0.634,0.74,0.794,0.77,0.9375,13,1.082099199295044,26,0.9375,1,0.018741607666015625,1,0.9375,1,0.6090760231018066,2,0.9375,10,0.9328720569610596,20,0.9375,25,2.053467035293579,50,0.9375,50,2.439202070236206,100,0.862,0.7,0.787,0.814,0.861,0.9,0.635,0.742,0.794,0.77,0.898,0.64,0.744,0.796,0.782,0.886,0.678,0.781,0.814,0.834,0.874,0.69,0.785,0.822,0.866,0.869,0.689,0.768,0.826,0.878,0.80480003,0.76820004,0.772,0.7986,0.80740005,0.80600005,0.7672,0.03600001335144043,0.0,0.0009999871253967285,0.0,0.0,0.007400000095367431,0.0,0.0,0.0009999871253967285,0.0009999871253967285,0.0020000338554382324,0.0008000016212463378,0.0,0.0,0.0,0.0,0.0,0.0,0.016000032424926758,0.0,0.0,0.0,0.0,0.0032000064849853514,0.02399998903274536,0.0,0.006999969482421875,0.0,0.0,0.006199991703033448,0.02899998426437378,0.0,0.026000022888183594,0.0,0.0,0.011000001430511474
3,0,0.898,0.634,0.74,0.794,0.77,0.90625,11,0.9918043613433838,22,0.90625,1,0.016965866088867188,1,0.90625,1,0.6328945159912109,2,0.90625,10,1.3096094131469727,20,0.90625,25,2.5675883293151855,50,0.90625,50,2.3172035217285156,100,0.862,0.699,0.785,0.816,0.866,0.9,0.634,0.742,0.794,0.772,0.898,0.643,0.744,0.796,0.785,0.882,0.686,0.786,0.819,0.846,0.884,0.696,0.782,0.822,0.87,0.898,0.696,0.768,0.824,0.869,0.8056,0.7684001,0.77320004,0.8038,0.81079996,0.811,0.7672,0.03600001335144043,0.0009999871253967285,0.0029999613761901855,0.0,0.0,0.007999992370605469,0.0,0.0009999871253967285,0.0009999871253967285,0.0009999871253967285,0.0,0.0005999922752380372,0.0,0.0,0.0,0.0,0.0,0.0,0.019999980926513672,0.0,0.0,0.0,0.0,0.0039999961853027345,0.013999998569488525,0.0,0.009999990463256836,0.0,0.0,0.004799997806549073,0.0,0.0,0.026000022888183594,0.001999974250793457,0.009000003337860107,0.007400000095367431
4,0,0.898,0.634,0.74,0.794,0.77,0.84375,5,0.7823970317840576,10,0.84375,1,0.017544984817504883,1,0.84375,1,0.6343579292297363,2,0.84375,10,0.9106318950653076,20,0.84375,25,1.6940171718597412,50,0.875,50,2.3163912296295166,100,0.867,0.694,0.787,0.818,0.863,0.901,0.636,0.741,0.794,0.774,0.899,0.646,0.744,0.796,0.788,0.886,0.685,0.786,0.82,0.845,0.906,0.687,0.784,0.822,0.85,0.92,0.685,0.772,0.823,0.83,0.8058001,0.76919997,0.7746,0.80439997,0.80979997,0.80600005,0.7672,0.03100001811981201,0.0059999823570251465,0.0009999871253967285,0.0,0.003000020980834961,0.00820000171661377,0.0,0.0,0.001999974250793457,0.0009999871253967285,0.0,0.0005999922752380372,0.0,0.0,0.0,0.0,0.0,0.0,0.016000032424926758,0.0009999871253967285,0.0,0.0,0.0009999871253967285,0.003600001335144043,0.0,0.009000003337860107,0.008000016212463379,0.0,0.019999980926513672,0.007400000095367431,0.0,0.010999977588653564,0.022000014781951904,0.0029999613761901855,0.0480000376701355,0.01679999828338623
5,0,0.898,0.634,0.74,0.794,0.77,0.875,18,1.2662608623504639,36,0.875,1,0.01753067970275879,1,0.875,1,0.6089279651641846,2,0.875,10,0.929999828338623,20,0.875,25,1.7172093391418457,50,0.90625,50,2.373108386993408,100,0.868,0.689,0.786,0.816,0.864,0.901,0.637,0.742,0.795,0.774,0.898,0.649,0.746,0.798,0.792,0.884,0.684,0.792,0.822,0.848,0.906,0.684,0.78,0.822,0.851,0.918,0.674,0.774,0.82,0.836,0.80459994,0.76980007,0.7766,0.80600005,0.80859995,0.80439997,0.7672,0.030000030994415283,0.010999977588653564,0.001999974250793457,0.0020000338554382324,0.001999974250793457,0.009399998188018798,0.0,0.0,0.0009999871253967285,0.0,0.0,0.0001999974250793457,0.0009999871253967285,0.0,0.0,0.0,0.0,0.0001999974250793457,0.018000006675720215,0.001999974250793457,0.0,0.0,0.0,0.0039999961853027345,0.0,0.011999964714050293,0.012000024318695068,0.0,0.018999993801116943,0.008599996566772461,0.0020000338554382324,0.02199995517730713,0.020000040531158447,0.0059999823570251465,0.041999995708465576,0.018400001525878906
6,0,0.898,0.634,0.74,0.794,0.77,0.9375,13,1.061617374420166,26,0.9375,1,0.017358064651489258,1,0.9375,1,0.6397643089294434,2,0.96875,10,0.9247286319732666,20,0.96875,25,1.8984804153442383,50,0.96875,50,3.0923686027526855,100,0.871,0.698,0.779,0.825,0.868,0.901,0.638,0.74,0.795,0.774,0.898,0.652,0.746,0.8,0.794,0.883,0.693,0.784,0.826,0.855,0.903,0.692,0.77,0.824,0.86,0.916,0.687,0.762,0.826,0.85,0.8082,0.76960003,0.778,0.8082,0.8098,0.8082,0.7672,0.027000010013580322,0.001999974250793457,0.009000003337860107,0.0,0.0,0.0075999975204467775,0.0,0.0,0.0029999613761901855,0.0,0.0,0.0005999922752380372,0.0009999871253967285,0.0,0.0,0.0,0.0,0.0001999974250793457,0.018999993801116943,0.0,0.008000016212463379,0.0,0.0,0.0054000020027160645,0.003000020980834961,0.0040000081062316895,0.022000014781951904,0.0,0.009999990463256836,0.007800006866455078,0.0040000081062316895,0.009000003337860107,0.03200000524520874,0.0,0.02799999713897705,0.014600002765655517
7,0,0.898,0.634,0.74,0.794,0.77,0.9375,1,0.6234569549560547,2,0.96875,1,0.017357826232910156,1,0.96875,1,0.6012194156646729,2,0.96875,10,0.9463260173797607,20,0.9375,25,1.4494597911834717,50,0.9375,50,2.4971163272857666,100,0.871,0.699,0.778,0.826,0.868,0.902,0.639,0.74,0.794,0.773,0.898,0.656,0.748,0.798,0.798,0.884,0.699,0.784,0.819,0.854,0.906,0.696,0.77,0.814,0.857,0.923,0.697,0.76,0.813,0.847,0.8084,0.76960003,0.77959996,0.80799997,0.80859995,0.80799997,0.7672,0.027000010013580322,0.0009999871253967285,0.009999990463256836,0.0,0.0,0.0075999975204467775,0.0,0.0,0.0029999613761901855,0.0009999871253967285,0.0009999871253967285,0.0009999871253967285,0.0009999871253967285,0.0,0.0,0.0020000338554382324,0.0,0.0006000041961669922,0.018000006675720215,0.0,0.008000016212463379,0.006999969482421875,0.001000046730041504,0.006800007820129394,0.0,0.0,0.022000014781951904,0.009999990463256836,0.013000011444091797,0.009000003337860107,0.0,0.0,0.03400003910064697,0.012999951839447021,0.03100001811981201,0.015600001811981202
8,0,0.898,0.634,0.74,0.794,0.77,0.90625,11,0.9928429126739502,22,0.9375,1,0.017806529998779297,1,0.9375,1,0.604600191116333,2,0.9375,10,0.9051806926727295,20,0.9375,25,1.4347014427185059,50,0.96875,50,2.530367612838745,100,0.876,0.694,0.778,0.826,0.864,0.902,0.638,0.742,0.794,0.773,0.898,0.656,0.749,0.8,0.798,0.888,0.694,0.786,0.818,0.854,0.908,0.688,0.77,0.814,0.854,0.928,0.68,0.764,0.821,0.839,0.8076,0.76980007,0.7802,0.80799997,0.8068,0.80639994,0.7672,0.022000014781951904,0.0059999823570251465,0.009999990463256836,0.0,0.003999948501586914,0.00839998722076416,0.0,0.0009999871253967285,0.0009999871253967285,0.0009999871253967285,0.0009999871253967285,0.0007999897003173828,0.0009999871253967285,0.0,0.0,0.0,0.0,0.0001999974250793457,0.013999998569488525,0.004999995231628418,0.0059999823570251465,0.007999956607818604,0.001000046730041504,0.0067999958992004395,0.0,0.007999956607818604,0.022000014781951904,0.009999990463256836,0.016000032424926758,0.01119999885559082,0.0,0.017000019550323486,0.030000030994415283,0.004999995231628418,0.03900003433227539,0.018200016021728514
9,0,0.898,0.634,0.74,0.794,0.77,0.9375,32,1.7734956741333008,64,0.9375,1,0.0186464786529541,1,0.9375,1,0.6054036617279053,2,0.9375,10,0.9094257354736328,20,0.9375,25,1.953862190246582,50,0.96875,50,2.578355073928833,100,0.892,0.701,0.777,0.822,0.848,0.903,0.638,0.742,0.794,0.774,0.899,0.658,0.752,0.801,0.798,0.895,0.696,0.787,0.818,0.847,0.916,0.69,0.778,0.814,0.836,0.933,0.686,0.768,0.816,0.82,0.80799997,0.7702,0.7816,0.80860007,0.8068,0.80460006,0.7672,0.0059999823570251465,0.0,0.010999977588653564,0.003999948501586914,0.019999980926513672,0.008199977874755859,0.0,0.0009999871253967285,0.0009999871253967285,0.0009999871253967285,0.0,0.0005999922752380372,0.0,0.0,0.0,0.0,0.0,0.0,0.00700002908706665,0.003000020980834961,0.004999995231628418,0.007999956607818604,0.008000016212463379,0.0062000036239624025,0.0,0.0059999823570251465,0.013999998569488525,0.009999990463256836,0.0339999794960022,0.012799990177154542,0.0,0.01100003719329834,0.026000022888183594,0.009999990463256836,0.058000028133392334,0.02100001573562622
