step,task,acc_pretrain_T0,acc_pretrain_T1,acc_pretrain_T2,acc_pretrain_T3,acc_pretrain_T4,online_acc_drifta50_sgd_0.01,detected_drift_drifta50_sgd_0.01,diff_X_t_drifta50_sgd_0.01,Z_t_drifta50_sgd_0.01,p_0t_drifta50_sgd_0.01,repeat_drifta50_sgd_0.01,times_drifta50_sgd_0.01,train_batches_drifta50_sgd_0.01,online_acc_drifta_conv_sgd_0.01,detected_drift_drifta_conv_sgd_0.01,diff_X_t_drifta_conv_sgd_0.01,Z_t_drifta_conv_sgd_0.01,p_0t_drifta_conv_sgd_0.01,repeat_drifta_conv_sgd_0.01,times_drifta_conv_sgd_0.01,train_batches_drifta_conv_sgd_0.01,online_acc_2drifta50_sgd_0.01,detected_drift_2drifta50_sgd_0.01,diff_X_t_2drifta50_sgd_0.01,Z_t_2drifta50_sgd_0.01,p_0t_2drifta50_sgd_0.01,repeat_2drifta50_sgd_0.01,times_2drifta50_sgd_0.01,train_batches_2drifta50_sgd_0.01,online_acc_2drifta_conv_sgd_0.01,detected_drift_2drifta_conv_sgd_0.01,diff_X_t_2drifta_conv_sgd_0.01,Z_t_2drifta_conv_sgd_0.01,p_0t_2drifta_conv_sgd_0.01,repeat_2drifta_conv_sgd_0.01,times_2drifta_conv_sgd_0.01,train_batches_2drifta_conv_sgd_0.01,online_acc_catf_sgd_0.01,repeat_catf_sgd_0.01,times_catf_sgd_0.01,train_batches_catf_sgd_0.01,acc_drifta50_sgd_0.01_T0,acc_drifta50_sgd_0.01_T1,acc_drifta50_sgd_0.01_T2,acc_drifta50_sgd_0.01_T3,acc_drifta50_sgd_0.01_T4,acc_drifta_conv_sgd_0.01_T0,acc_drifta_conv_sgd_0.01_T1,acc_drifta_conv_sgd_0.01_T2,acc_drifta_conv_sgd_0.01_T3,acc_drifta_conv_sgd_0.01_T4,acc_2drifta50_sgd_0.01_T0,acc_2drifta50_sgd_0.01_T1,acc_2drifta50_sgd_0.01_T2,acc_2drifta50_sgd_0.01_T3,acc_2drifta50_sgd_0.01_T4,acc_2drifta_conv_sgd_0.01_T0,acc_2drifta_conv_sgd_0.01_T1,acc_2drifta_conv_sgd_0.01_T2,acc_2drifta_conv_sgd_0.01_T3,acc_2drifta_conv_sgd_0.01_T4,acc_catf_sgd_0.01_T0,acc_catf_sgd_0.01_T1,acc_catf_sgd_0.01_T2,acc_catf_sgd_0.01_T3,acc_catf_sgd_0.01_T4,acc_avg_drifta50_sgd_0.01,acc_avg_drifta_conv_sgd_0.01,acc_avg_2drifta50_sgd_0.01,acc_avg_2drifta_conv_sgd_0.01,acc_avg_catf_sgd_0.01,acc_avg_pretrain,forget_drifta50_sgd_0.01_T0,forget_drifta50_sgd_0.01_T1,forget_drifta50_sgd_0.01_T2,forget_drifta50_sgd_0.01_T3,forget_drifta50_sgd_0.01_T4,forget_avg_drifta50_sgd_0.01,forget_drifta_conv_sgd_0.01_T0,forget_drifta_conv_sgd_0.01_T1,forget_drifta_conv_sgd_0.01_T2,forget_drifta_conv_sgd_0.01_T3,forget_drifta_conv_sgd_0.01_T4,forget_avg_drifta_conv_sgd_0.01,forget_2drifta50_sgd_0.01_T0,forget_2drifta50_sgd_0.01_T1,forget_2drifta50_sgd_0.01_T2,forget_2drifta50_sgd_0.01_T3,forget_2drifta50_sgd_0.01_T4,forget_avg_2drifta50_sgd_0.01,forget_2drifta_conv_sgd_0.01_T0,forget_2drifta_conv_sgd_0.01_T1,forget_2drifta_conv_sgd_0.01_T2,forget_2drifta_conv_sgd_0.01_T3,forget_2drifta_conv_sgd_0.01_T4,forget_avg_2drifta_conv_sgd_0.01,forget_catf_sgd_0.01_T0,forget_catf_sgd_0.01_T1,forget_catf_sgd_0.01_T2,forget_catf_sgd_0.01_T3,forget_catf_sgd_0.01_T4,forget_avg_catf_sgd_0.01
0,0,0.633,0.508,0.566,0.806,0.89,0.75,False,0.25,0.05,0.25,0,0.4286980628967285,0,0.75,False,0.25,0.05,0.25,0,0.4445078372955322,0,0.75,False,0.25,0.05,0.25,0,0.46816349029541016,0,0.75,False,0.25,0.05,0.25,0,0.3957979679107666,0,0.75,1,0.9417288303375244,1,0.633,0.508,0.566,0.806,0.89,0.633,0.508,0.566,0.806,0.89,0.633,0.508,0.566,0.806,0.89,0.633,0.508,0.566,0.806,0.89,0.642,0.511,0.57,0.806,0.891,0.6806,0.6806,0.6806,0.6806,0.684,0.6806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,0.633,0.508,0.566,0.806,0.89,0.6875,False,0.0625,0.10250000000000001,0.28125,0,0.4381117820739746,0,0.6875,False,0.0625,0.10250000000000001,0.28125,0,0.3152904510498047,0,0.6875,False,0.0625,0.10250000000000001,0.28125,0,0.33078980445861816,0,0.6875,False,0.0625,0.10250000000000001,0.28125,0,0.3282632827758789,0,0.6875,1,0.010918617248535156,1,0.633,0.508,0.566,0.806,0.89,0.633,0.508,0.566,0.806,0.89,0.633,0.508,0.566,0.806,0.89,0.633,0.508,0.566,0.806,0.89,0.648,0.512,0.572,0.806,0.893,0.6806,0.6806,0.6806,0.6806,0.6862,0.6806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,0.633,0.508,0.566,0.806,0.89,0.625,False,0.0625,0.15700000000000003,0.3125,0,0.3196084499359131,0,0.625,False,0.0625,0.15700000000000003,0.3125,0,0.3125584125518799,0,0.625,False,0.0625,0.15700000000000003,0.3125,0,0.32817769050598145,0,0.625,False,0.0625,0.15700000000000003,0.3125,0,0.3256702423095703,0,0.6875,1,0.01045536994934082,1,0.633,0.508,0.566,0.806,0.89,0.633,0.508,0.566,0.806,0.89,0.633,0.508,0.566,0.806,0.89,0.633,0.508,0.566,0.806,0.89,0.654,0.514,0.576,0.806,0.894,0.6806,0.6806,0.6806,0.6806,0.6888,0.6806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0,0.633,0.508,0.566,0.806,0.89,0.625,False,0.0,0.20060000000000003,0.328125,27,2.6496593952178955,162,0.625,False,0.0,0.20060000000000003,0.328125,2,1.299330472946167,12,0.625,False,0.0,0.20060000000000003,0.328125,27,2.699867010116577,162,0.625,False,0.0,0.20060000000000003,0.328125,2,1.3358445167541504,12,0.625,1,0.011344194412231445,1,0.82,0.646,0.688,0.846,0.885,0.668,0.53,0.594,0.813,0.896,0.82,0.646,0.688,0.846,0.885,0.668,0.53,0.594,0.813,0.896,0.66,0.518,0.578,0.806,0.894,0.777,0.70019996,0.777,0.70019996,0.6912,0.6806,0.0,0.0,0.0,0.0,0.004999995231628418,0.0009999990463256836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004999995231628418,0.0009999990463256836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0,0.633,0.508,0.566,0.806,0.89,1.0,False,-0.375,0.16048000000000004,0.2625,0,0.4776763916015625,0,0.84375,False,-0.21875,0.19173000000000004,0.29375,0,0.32929015159606934,0,1.0,False,-0.375,0.16048000000000004,0.2625,0,0.33379173278808594,0,0.84375,False,-0.21875,0.19173000000000004,0.29375,0,0.3439340591430664,0,0.84375,1,0.010824918746948242,1,0.82,0.646,0.688,0.846,0.885,0.668,0.53,0.594,0.813,0.896,0.82,0.646,0.688,0.846,0.885,0.668,0.53,0.594,0.813,0.896,0.662,0.521,0.58,0.807,0.893,0.777,0.70019996,0.777,0.70019996,0.69259995,0.6806,0.0,0.0,0.0,0.0,0.004999995231628418,0.0009999990463256836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004999995231628418,0.0009999990463256836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009999871253967285,0.0001999974250793457
5,0,0.633,0.508,0.566,0.806,0.89,0.75,False,0.25,0.17838400000000004,0.2604166666666667,0,0.33005428314208984,0,0.59375,False,0.25,0.23463400000000006,0.3125,14,0.9607892036437988,56,0.75,False,0.25,0.17838400000000004,0.2604166666666667,0,0.3498103618621826,0,0.59375,False,0.25,0.23463400000000006,0.3125,14,0.9624788761138916,56,0.59375,1,0.011609554290771484,1,0.82,0.646,0.688,0.846,0.885,0.765,0.606,0.67,0.839,0.878,0.82,0.646,0.688,0.846,0.885,0.765,0.606,0.67,0.839,0.878,0.668,0.524,0.582,0.811,0.892,0.777,0.7516,0.777,0.7516,0.6954,0.6806,0.0,0.0,0.0,0.0,0.004999995231628418,0.0009999990463256836,0.0,0.0,0.0,0.0,0.018000006675720215,0.003600001335144043,0.0,0.0,0.0,0.0,0.004999995231628418,0.0009999990463256836,0.0,0.0,0.0,0.0,0.018000006675720215,0.003600001335144043,0.0,0.0,0.0,0.0,0.001999974250793457,0.0003999948501586914
6,0,0.633,0.508,0.566,0.806,0.89,0.84375,False,-0.09375,0.17395720000000003,0.2455357142857143,0,0.31907033920288086,0,0.78125,False,-0.1875,0.23145720000000009,0.29910714285714285,2,0.3703763484954834,4,0.84375,False,-0.09375,0.17395720000000003,0.2455357142857143,0,0.3386566638946533,0,0.78125,False,-0.1875,0.23145720000000009,0.29910714285714285,2,0.3836052417755127,4,0.65625,1,0.011330842971801758,1,0.82,0.646,0.688,0.846,0.885,0.766,0.608,0.672,0.839,0.878,0.82,0.646,0.688,0.846,0.885,0.766,0.608,0.672,0.839,0.878,0.672,0.526,0.582,0.812,0.894,0.777,0.7526,0.777,0.7526,0.6972,0.6806,0.0,0.0,0.0,0.0,0.004999995231628418,0.0009999990463256836,0.0,0.0,0.0,0.0,0.018000006675720215,0.003600001335144043,0.0,0.0,0.0,0.0,0.004999995231628418,0.0009999990463256836,0.0,0.0,0.0,0.0,0.018000006675720215,0.003600001335144043,0.0,0.0,0.0,0.0,0.0,0.0
7,0,0.633,0.508,0.566,0.806,0.89,0.875,False,-0.03125,0.16416576000000002,0.23046875,0,0.32285380363464355,0,0.875,False,-0.09375,0.21016576000000006,0.27734375,8,0.5028257369995117,16,0.875,False,-0.03125,0.16416576000000002,0.23046875,0,0.3381466865539551,0,0.875,False,-0.09375,0.21016576000000006,0.27734375,8,0.5195631980895996,16,0.6875,1,0.009635686874389648,1,0.82,0.646,0.688,0.846,0.885,0.782,0.618,0.684,0.84,0.878,0.82,0.646,0.688,0.846,0.885,0.782,0.618,0.684,0.84,0.878,0.678,0.526,0.585,0.814,0.894,0.777,0.7604,0.777,0.7604,0.69940007,0.6806,0.0,0.0,0.0,0.0,0.004999995231628418,0.0009999990463256836,0.0,0.0,0.0,0.0,0.018000006675720215,0.003600001335144043,0.0,0.0,0.0,0.0,0.004999995231628418,0.0009999990463256836,0.0,0.0,0.0,0.0,0.018000006675720215,0.003600001335144043,0.0,0.0,0.0,0.0,0.0,0.0
8,0,0.633,0.508,0.566,0.806,0.89,0.9375,False,-0.0625,0.14383260800000003,0.21180555555555555,0,0.3307621479034424,0,0.96875,False,-0.09375,0.17438260800000008,0.24999999999999997,0,0.31881070137023926,0,0.9375,False,-0.0625,0.14383260800000003,0.21180555555555555,0,0.3335545063018799,0,0.96875,False,-0.09375,0.17438260800000008,0.24999999999999997,0,0.3340110778808594,0,0.90625,1,0.011663198471069336,1,0.82,0.646,0.688,0.846,0.885,0.782,0.618,0.684,0.84,0.878,0.82,0.646,0.688,0.846,0.885,0.782,0.618,0.684,0.84,0.878,0.683,0.528,0.587,0.816,0.894,0.777,0.7604,0.777,0.7604,0.70159996,0.6806,0.0,0.0,0.0,0.0,0.004999995231628418,0.0009999990463256836,0.0,0.0,0.0,0.0,0.018000006675720215,0.003600001335144043,0.0,0.0,0.0,0.0,0.004999995231628418,0.0009999990463256836,0.0,0.0,0.0,0.0,0.018000006675720215,0.003600001335144043,0.0,0.0,0.0,0.0,0.0,0.0
9,0,0.633,0.508,0.566,0.806,0.89,0.75,False,0.1875,0.16506608640000003,0.21562499999999998,0,0.3283822536468506,0,0.75,False,0.21875,0.18950608640000005,0.24999999999999997,0,0.3297755718231201,0,0.75,False,0.1875,0.16506608640000003,0.21562499999999998,0,0.3446066379547119,0,0.75,False,0.21875,0.18950608640000005,0.24999999999999997,0,0.3334014415740967,0,0.625,1,0.012271404266357422,1,0.82,0.646,0.688,0.846,0.885,0.782,0.618,0.684,0.84,0.878,0.82,0.646,0.688,0.846,0.885,0.782,0.618,0.684,0.84,0.878,0.688,0.527,0.59,0.816,0.894,0.777,0.7604,0.777,0.7604,0.703,0.6806,0.0,0.0,0.0,0.0,0.004999995231628418,0.0009999990463256836,0.0,0.0,0.0,0.0,0.018000006675720215,0.003600001335144043,0.0,0.0,0.0,0.0,0.004999995231628418,0.0009999990463256836,0.0,0.0,0.0,0.0,0.018000006675720215,0.003600001335144043,0.0,0.0009999871253967285,0.0,0.0,0.0,0.0001999974250793457
