step,task,acc_pretrain_T0,acc_pretrain_T1,acc_pretrain_T2,acc_pretrain_T3,acc_pretrain_T4,online_acc_drifta50_sgd_0.01,detected_drift_drifta50_sgd_0.01,diff_X_t_drifta50_sgd_0.01,Z_t_drifta50_sgd_0.01,p_0t_drifta50_sgd_0.01,repeat_drifta50_sgd_0.01,times_drifta50_sgd_0.01,train_batches_drifta50_sgd_0.01,online_acc_drifta_conv_sgd_0.01,detected_drift_drifta_conv_sgd_0.01,diff_X_t_drifta_conv_sgd_0.01,Z_t_drifta_conv_sgd_0.01,p_0t_drifta_conv_sgd_0.01,repeat_drifta_conv_sgd_0.01,times_drifta_conv_sgd_0.01,train_batches_drifta_conv_sgd_0.01,online_acc_2drifta50_sgd_0.01,detected_drift_2drifta50_sgd_0.01,diff_X_t_2drifta50_sgd_0.01,Z_t_2drifta50_sgd_0.01,p_0t_2drifta50_sgd_0.01,repeat_2drifta50_sgd_0.01,times_2drifta50_sgd_0.01,train_batches_2drifta50_sgd_0.01,online_acc_2drifta_conv_sgd_0.01,detected_drift_2drifta_conv_sgd_0.01,diff_X_t_2drifta_conv_sgd_0.01,Z_t_2drifta_conv_sgd_0.01,p_0t_2drifta_conv_sgd_0.01,repeat_2drifta_conv_sgd_0.01,times_2drifta_conv_sgd_0.01,train_batches_2drifta_conv_sgd_0.01,online_acc_cont_conv_sgd_0.01,repeat_cont_conv_sgd_0.01,times_cont_conv_sgd_0.01,train_batches_cont_conv_sgd_0.01,online_acc_catf_sgd_0.01,repeat_catf_sgd_0.01,times_catf_sgd_0.01,train_batches_catf_sgd_0.01,online_acc_conr1_sgd_0.01,repeat_conr1_sgd_0.01,times_conr1_sgd_0.01,train_batches_conr1_sgd_0.01,online_acc_conr10_sgd_0.01,repeat_conr10_sgd_0.01,times_conr10_sgd_0.01,train_batches_conr10_sgd_0.01,online_acc_conr25_sgd_0.01,repeat_conr25_sgd_0.01,times_conr25_sgd_0.01,train_batches_conr25_sgd_0.01,online_acc_conr50_sgd_0.01,repeat_conr50_sgd_0.01,times_conr50_sgd_0.01,train_batches_conr50_sgd_0.01,acc_drifta50_sgd_0.01_T0,acc_drifta50_sgd_0.01_T1,acc_drifta50_sgd_0.01_T2,acc_drifta50_sgd_0.01_T3,acc_drifta50_sgd_0.01_T4,acc_drifta_conv_sgd_0.01_T0,acc_drifta_conv_sgd_0.01_T1,acc_drifta_conv_sgd_0.01_T2,acc_drifta_conv_sgd_0.01_T3,acc_drifta_conv_sgd_0.01_T4,acc_2drifta50_sgd_0.01_T0,acc_2drifta50_sgd_0.01_T1,acc_2drifta50_sgd_0.01_T2,acc_2drifta50_sgd_0.01_T3,acc_2drifta50_sgd_0.01_T4,acc_2drifta_conv_sgd_0.01_T0,acc_2drifta_conv_sgd_0.01_T1,acc_2drifta_conv_sgd_0.01_T2,acc_2drifta_conv_sgd_0.01_T3,acc_2drifta_conv_sgd_0.01_T4,acc_cont_conv_sgd_0.01_T0,acc_cont_conv_sgd_0.01_T1,acc_cont_conv_sgd_0.01_T2,acc_cont_conv_sgd_0.01_T3,acc_cont_conv_sgd_0.01_T4,acc_catf_sgd_0.01_T0,acc_catf_sgd_0.01_T1,acc_catf_sgd_0.01_T2,acc_catf_sgd_0.01_T3,acc_catf_sgd_0.01_T4,acc_conr1_sgd_0.01_T0,acc_conr1_sgd_0.01_T1,acc_conr1_sgd_0.01_T2,acc_conr1_sgd_0.01_T3,acc_conr1_sgd_0.01_T4,acc_conr10_sgd_0.01_T0,acc_conr10_sgd_0.01_T1,acc_conr10_sgd_0.01_T2,acc_conr10_sgd_0.01_T3,acc_conr10_sgd_0.01_T4,acc_conr25_sgd_0.01_T0,acc_conr25_sgd_0.01_T1,acc_conr25_sgd_0.01_T2,acc_conr25_sgd_0.01_T3,acc_conr25_sgd_0.01_T4,acc_conr50_sgd_0.01_T0,acc_conr50_sgd_0.01_T1,acc_conr50_sgd_0.01_T2,acc_conr50_sgd_0.01_T3,acc_conr50_sgd_0.01_T4,acc_avg_drifta50_sgd_0.01,acc_avg_drifta_conv_sgd_0.01,acc_avg_2drifta50_sgd_0.01,acc_avg_2drifta_conv_sgd_0.01,acc_avg_cont_conv_sgd_0.01,acc_avg_catf_sgd_0.01,acc_avg_conr1_sgd_0.01,acc_avg_conr10_sgd_0.01,acc_avg_conr25_sgd_0.01,acc_avg_conr50_sgd_0.01,acc_avg_pretrain,forget_drifta50_sgd_0.01_T0,forget_drifta50_sgd_0.01_T1,forget_drifta50_sgd_0.01_T2,forget_drifta50_sgd_0.01_T3,forget_drifta50_sgd_0.01_T4,forget_avg_drifta50_sgd_0.01,forget_drifta_conv_sgd_0.01_T0,forget_drifta_conv_sgd_0.01_T1,forget_drifta_conv_sgd_0.01_T2,forget_drifta_conv_sgd_0.01_T3,forget_drifta_conv_sgd_0.01_T4,forget_avg_drifta_conv_sgd_0.01,forget_2drifta50_sgd_0.01_T0,forget_2drifta50_sgd_0.01_T1,forget_2drifta50_sgd_0.01_T2,forget_2drifta50_sgd_0.01_T3,forget_2drifta50_sgd_0.01_T4,forget_avg_2drifta50_sgd_0.01,forget_2drifta_conv_sgd_0.01_T0,forget_2drifta_conv_sgd_0.01_T1,forget_2drifta_conv_sgd_0.01_T2,forget_2drifta_conv_sgd_0.01_T3,forget_2drifta_conv_sgd_0.01_T4,forget_avg_2drifta_conv_sgd_0.01,forget_cont_conv_sgd_0.01_T0,forget_cont_conv_sgd_0.01_T1,forget_cont_conv_sgd_0.01_T2,forget_cont_conv_sgd_0.01_T3,forget_cont_conv_sgd_0.01_T4,forget_avg_cont_conv_sgd_0.01,forget_catf_sgd_0.01_T0,forget_catf_sgd_0.01_T1,forget_catf_sgd_0.01_T2,forget_catf_sgd_0.01_T3,forget_catf_sgd_0.01_T4,forget_avg_catf_sgd_0.01,forget_conr1_sgd_0.01_T0,forget_conr1_sgd_0.01_T1,forget_conr1_sgd_0.01_T2,forget_conr1_sgd_0.01_T3,forget_conr1_sgd_0.01_T4,forget_avg_conr1_sgd_0.01,forget_conr10_sgd_0.01_T0,forget_conr10_sgd_0.01_T1,forget_conr10_sgd_0.01_T2,forget_conr10_sgd_0.01_T3,forget_conr10_sgd_0.01_T4,forget_avg_conr10_sgd_0.01,forget_conr25_sgd_0.01_T0,forget_conr25_sgd_0.01_T1,forget_conr25_sgd_0.01_T2,forget_conr25_sgd_0.01_T3,forget_conr25_sgd_0.01_T4,forget_avg_conr25_sgd_0.01,forget_conr50_sgd_0.01_T0,forget_conr50_sgd_0.01_T1,forget_conr50_sgd_0.01_T2,forget_conr50_sgd_0.01_T3,forget_conr50_sgd_0.01_T4,forget_avg_conr50_sgd_0.01
0,0,0.633,0.508,0.566,0.806,0.89,0.75,False,0.25,0.05,0.25,0,0.4571082592010498,0,0.75,False,0.25,0.05,0.25,0,0.458942174911499,0,0.75,False,0.25,0.05,0.25,0,0.46379852294921875,0,0.75,False,0.25,0.05,0.25,0,0.4143521785736084,0,0.75,2,1.2514395713806152,4,0.75,1,0.875584602355957,1,0.75,1,1.1864206790924072,2,0.75,10,1.3589634895324707,20,0.75,25,1.8240904808044434,50,0.75,50,2.1638431549072266,100,0.633,0.508,0.566,0.806,0.89,0.633,0.508,0.566,0.806,0.89,0.633,0.508,0.566,0.806,0.89,0.633,0.508,0.566,0.806,0.89,0.646,0.518,0.579,0.808,0.894,0.642,0.511,0.57,0.806,0.891,0.643,0.512,0.572,0.806,0.892,0.682,0.552,0.609,0.811,0.893,0.712,0.594,0.646,0.816,0.889,0.726,0.626,0.676,0.819,0.888,0.6806,0.6806,0.6806,0.6806,0.689,0.684,0.685,0.7094,0.7314,0.747,0.6806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009999871253967285,0.0001999974250793457,0.0,0.0,0.0,0.0,0.001999974250793457,0.0003999948501586914
1,0,0.633,0.508,0.566,0.806,0.89,0.6875,False,0.0625,0.10250000000000001,0.28125,0,0.3138148784637451,0,0.6875,False,0.0625,0.10250000000000001,0.28125,0,0.3135530948638916,0,0.6875,False,0.0625,0.10250000000000001,0.28125,0,0.3264625072479248,0,0.6875,False,0.0625,0.10250000000000001,0.28125,0,0.3278067111968994,0,0.6875,45,1.3205327987670898,90,0.6875,1,0.010840415954589844,1,0.6875,1,0.3207690715789795,2,0.71875,10,0.5182080268859863,20,0.71875,25,0.8243794441223145,50,0.8125,50,1.3254687786102295,100,0.633,0.508,0.566,0.806,0.89,0.633,0.508,0.566,0.806,0.89,0.633,0.508,0.566,0.806,0.89,0.633,0.508,0.566,0.806,0.89,0.725,0.613,0.678,0.828,0.888,0.648,0.512,0.572,0.806,0.893,0.649,0.517,0.579,0.808,0.892,0.716,0.578,0.638,0.82,0.889,0.752,0.626,0.678,0.829,0.884,0.764,0.652,0.708,0.829,0.886,0.6806,0.6806,0.6806,0.6806,0.7464,0.6862,0.689,0.7282,0.75380003,0.7678,0.6806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059999823570251465,0.0011999964714050292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0040000081062316895,0.0008000016212463378,0.0,0.0,0.0,0.0,0.0059999823570251465,0.0011999964714050292,0.0,0.0,0.0,0.0,0.0040000081062316895,0.0008000016212463378
2,0,0.633,0.508,0.566,0.806,0.89,0.625,False,0.0625,0.15700000000000003,0.3125,0,0.3185408115386963,0,0.625,False,0.0625,0.15700000000000003,0.3125,0,0.31909847259521484,0,0.625,False,0.0625,0.15700000000000003,0.3125,0,0.3403434753417969,0,0.625,False,0.0625,0.15700000000000003,0.3125,0,0.3349573612213135,0,0.78125,18,0.6873965263366699,36,0.6875,1,0.010613203048706055,1,0.6875,1,0.5092155933380127,2,0.71875,10,0.4814894199371338,20,0.78125,25,0.8204631805419922,50,0.78125,50,1.2165870666503906,100,0.633,0.508,0.566,0.806,0.89,0.633,0.508,0.566,0.806,0.89,0.633,0.508,0.566,0.806,0.89,0.633,0.508,0.566,0.806,0.89,0.757,0.632,0.689,0.83,0.897,0.654,0.514,0.576,0.806,0.894,0.656,0.522,0.584,0.808,0.894,0.748,0.602,0.654,0.82,0.89,0.78,0.646,0.692,0.832,0.895,0.807,0.667,0.701,0.818,0.886,0.6806,0.6806,0.6806,0.6806,0.76100004,0.6888,0.6928,0.74279994,0.769,0.7758,0.6806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003000020980834961,0.0006000041961669922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00700002908706665,0.010999977588653564,0.0040000081062316895,0.004400002956390381
3,0,0.633,0.508,0.566,0.806,0.89,0.625,False,0.0,0.20060000000000003,0.328125,27,2.8021061420440674,162,0.625,False,0.0,0.20060000000000003,0.328125,15,2.1581130027770996,90,0.625,False,0.0,0.20060000000000003,0.328125,27,2.7638096809387207,162,0.625,False,0.0,0.20060000000000003,0.328125,15,2.174117088317871,90,0.78125,20,0.716740608215332,40,0.625,1,0.01148366928100586,1,0.625,1,0.32181620597839355,2,0.6875,10,0.490128755569458,20,0.84375,25,0.797734260559082,50,0.875,50,1.2915449142456055,100,0.881,0.628,0.711,0.85,0.864,0.887,0.614,0.684,0.846,0.848,0.881,0.628,0.711,0.85,0.864,0.887,0.614,0.684,0.846,0.848,0.796,0.646,0.688,0.84,0.886,0.66,0.518,0.578,0.806,0.894,0.66,0.524,0.588,0.808,0.896,0.765,0.615,0.664,0.834,0.889,0.817,0.653,0.696,0.841,0.882,0.846,0.661,0.693,0.841,0.87,0.7868,0.7758,0.7868,0.7758,0.7712,0.6912,0.6952001,0.75339997,0.77779996,0.78220004,0.6806,0.0,0.0,0.0,0.0,0.02599996328353882,0.005199992656707763,0.0,0.0,0.0,0.0,0.041999995708465576,0.008399999141693116,0.0,0.0,0.0,0.0,0.02599996328353882,0.005199992656707763,0.0,0.0,0.0,0.0,0.041999995708465576,0.008399999141693116,0.0,0.0,0.0009999871253967285,0.0,0.01100003719329834,0.0024000048637390138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0040000081062316895,0.0008000016212463378,0.0,0.0,0.0,0.0,0.012999951839447021,0.002599990367889404,0.0,0.0059999823570251465,0.014999985694885254,0.0,0.019999980926513672,0.008199989795684814
4,0,0.633,0.508,0.566,0.806,0.89,1.0,False,-0.375,0.16048000000000004,0.2625,0,0.32388758659362793,0,1.0,False,-0.375,0.16048000000000004,0.2625,0,0.3140683174133301,0,1.0,False,-0.375,0.16048000000000004,0.2625,0,0.32764315605163574,0,1.0,False,-0.375,0.16048000000000004,0.2625,0,0.32731056213378906,0,1.0,24,0.8307933807373047,48,0.84375,1,0.010892391204833984,1,0.84375,1,0.3187696933746338,2,0.9375,10,0.51458740234375,20,1.0,25,0.8028051853179932,50,1.0,50,1.3143329620361328,100,0.881,0.628,0.711,0.85,0.864,0.887,0.614,0.684,0.846,0.848,0.881,0.628,0.711,0.85,0.864,0.887,0.614,0.684,0.846,0.848,0.796,0.659,0.691,0.843,0.882,0.662,0.521,0.58,0.807,0.893,0.663,0.527,0.592,0.81,0.894,0.77,0.628,0.674,0.836,0.884,0.812,0.664,0.695,0.844,0.882,0.836,0.666,0.698,0.842,0.871,0.7868,0.7758,0.7868,0.7758,0.77419996,0.69259995,0.6972,0.7584,0.7794,0.78260005,0.6806,0.0,0.0,0.0,0.0,0.02599996328353882,0.005199992656707763,0.0,0.0,0.0,0.0,0.041999995708465576,0.008399999141693116,0.0,0.0,0.0,0.0,0.02599996328353882,0.005199992656707763,0.0,0.0,0.0,0.0,0.041999995708465576,0.008399999141693116,0.0,0.0,0.0,0.0,0.014999985694885254,0.0029999971389770507,0.0,0.0,0.0,0.0,0.0009999871253967285,0.0001999974250793457,0.0,0.0,0.0,0.0,0.0020000338554382324,0.0004000067710876465,0.0,0.0,0.0,0.0,0.009000003337860107,0.0018000006675720215,0.004999995231628418,0.0,0.0009999871253967285,0.0,0.012999951839447021,0.0037999868392944334,0.009999990463256836,0.0009999871253967285,0.009999990463256836,0.0,0.018999993801116943,0.007999992370605469
5,0,0.633,0.508,0.566,0.806,0.89,0.875,False,0.125,0.15338400000000002,0.23958333333333337,0,0.3233335018157959,0,0.84375,False,0.15625,0.15963400000000003,0.24479166666666669,0,0.3222799301147461,0,0.875,False,0.125,0.15338400000000002,0.23958333333333337,0,0.352400541305542,0,0.84375,False,0.15625,0.15963400000000003,0.24479166666666669,0,0.3328726291656494,0,0.75,11,0.5457744598388672,22,0.59375,1,0.011581897735595703,1,0.59375,1,0.3345365524291992,2,0.65625,10,0.5035057067871094,20,0.75,25,1.0006835460662842,50,0.75,50,1.2265689373016357,100,0.881,0.628,0.711,0.85,0.864,0.887,0.614,0.684,0.846,0.848,0.881,0.628,0.711,0.85,0.864,0.887,0.614,0.684,0.846,0.848,0.82,0.66,0.704,0.844,0.878,0.668,0.524,0.582,0.811,0.892,0.671,0.53,0.593,0.814,0.895,0.791,0.629,0.688,0.842,0.878,0.842,0.662,0.702,0.842,0.868,0.862,0.655,0.709,0.838,0.856,0.7868,0.7758,0.7868,0.7758,0.7812,0.6954,0.70059997,0.7656,0.78319997,0.784,0.6806,0.0,0.0,0.0,0.0,0.02599996328353882,0.005199992656707763,0.0,0.0,0.0,0.0,0.041999995708465576,0.008399999141693116,0.0,0.0,0.0,0.0,0.02599996328353882,0.005199992656707763,0.0,0.0,0.0,0.0,0.041999995708465576,0.008399999141693116,0.0,0.0,0.0,0.0,0.018999993801116943,0.0037999987602233888,0.0,0.0,0.0,0.0,0.001999974250793457,0.0003999948501586914,0.0,0.0,0.0,0.0,0.001000046730041504,0.00020000934600830078,0.0,0.0,0.0,0.0,0.014999985694885254,0.0029999971389770507,0.0,0.001999974250793457,0.0,0.001999974250793457,0.027000010013580322,0.006199991703033448,0.0,0.012000024318695068,0.0,0.0040000081062316895,0.0339999794960022,0.010000002384185792
6,0,0.633,0.508,0.566,0.806,0.89,0.875,False,0.0,0.1477072,0.22321428571428573,0,0.31990694999694824,0,0.90625,False,-0.0625,0.1464572,0.22321428571428573,0,0.31878161430358887,0,0.875,False,0.0,0.1477072,0.22321428571428573,0,0.338958740234375,0,0.90625,False,-0.0625,0.1464572,0.22321428571428573,0,0.33249378204345703,0,0.8125,4,0.3949851989746094,8,0.65625,1,0.011249303817749023,1,0.65625,1,0.3371410369873047,2,0.78125,10,0.5220532417297363,20,0.84375,25,0.8101770877838135,50,0.875,50,1.3141050338745117,100,0.881,0.628,0.711,0.85,0.864,0.887,0.614,0.684,0.846,0.848,0.881,0.628,0.711,0.85,0.864,0.887,0.614,0.684,0.846,0.848,0.826,0.662,0.705,0.843,0.876,0.672,0.526,0.582,0.812,0.894,0.678,0.536,0.596,0.815,0.895,0.803,0.634,0.698,0.842,0.883,0.852,0.66,0.718,0.836,0.862,0.873,0.656,0.724,0.83,0.854,0.7868,0.7758,0.7868,0.7758,0.78239995,0.6972,0.704,0.772,0.7856,0.78739995,0.6806,0.0,0.0,0.0,0.0,0.02599996328353882,0.005199992656707763,0.0,0.0,0.0,0.0,0.041999995708465576,0.008399999141693116,0.0,0.0,0.0,0.0,0.02599996328353882,0.005199992656707763,0.0,0.0,0.0,0.0,0.041999995708465576,0.008399999141693116,0.0,0.0,0.0,0.0009999871253967285,0.021000027656555176,0.004400002956390381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001000046730041504,0.00020000934600830078,0.0,0.0,0.0,0.0,0.009999990463256836,0.0019999980926513673,0.0,0.003999948501586914,0.0,0.007999956607818604,0.03299999237060547,0.008999979496002198,0.0,0.010999977588653564,0.0,0.012000024318695068,0.03600001335144043,0.011800003051757813
7,0,0.633,0.508,0.566,0.806,0.89,0.9375,False,-0.0625,0.13066576000000002,0.203125,0,0.3204457759857178,0,0.9375,False,-0.03125,0.12966576000000002,0.203125,0,0.32674121856689453,0,0.9375,False,-0.0625,0.13066576000000002,0.203125,0,0.3428950309753418,0,0.9375,False,-0.03125,0.12966576000000002,0.203125,0,0.3376128673553467,0,0.8125,23,0.8239047527313232,46,0.6875,1,0.011671304702758789,1,0.6875,1,0.33244776725769043,2,0.90625,10,0.5173048973083496,20,0.90625,25,0.8248231410980225,50,0.9375,50,1.3461735248565674,100,0.881,0.628,0.711,0.85,0.864,0.887,0.614,0.684,0.846,0.848,0.881,0.628,0.711,0.85,0.864,0.887,0.614,0.684,0.846,0.848,0.842,0.67,0.704,0.839,0.87,0.678,0.526,0.585,0.814,0.894,0.683,0.538,0.6,0.815,0.894,0.82,0.644,0.706,0.84,0.882,0.865,0.66,0.714,0.83,0.86,0.884,0.658,0.712,0.83,0.846,0.7868,0.7758,0.7868,0.7758,0.785,0.69940007,0.706,0.7784,0.7858,0.786,0.6806,0.0,0.0,0.0,0.0,0.02599996328353882,0.005199992656707763,0.0,0.0,0.0,0.0,0.041999995708465576,0.008399999141693116,0.0,0.0,0.0,0.0,0.02599996328353882,0.005199992656707763,0.0,0.0,0.0,0.0,0.041999995708465576,0.008399999141693116,0.0,0.0,0.0009999871253967285,0.004999995231628418,0.027000010013580322,0.006599998474121094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020000338554382324,0.0004000067710876465,0.0,0.0,0.0,0.0020000338554382324,0.010999977588653564,0.0026000022888183595,0.0,0.003999948501586914,0.0040000081062316895,0.013999998569488525,0.034999966621398926,0.011399984359741211,0.0,0.009000003337860107,0.011999964714050293,0.012000024318695068,0.04399996995925903,0.0153999924659729
8,0,0.633,0.508,0.566,0.806,0.89,1.0,False,-0.0625,0.10453260800000003,0.18055555555555555,0,0.32192230224609375,0,1.0,False,-0.0625,0.10373260800000002,0.18055555555555555,0,0.32077741622924805,0,1.0,False,-0.0625,0.10453260800000003,0.18055555555555555,0,0.3359794616699219,0,1.0,False,-0.0625,0.10373260800000002,0.18055555555555555,0,0.3350534439086914,0,0.96875,6,0.4363830089569092,12,0.90625,1,0.012393951416015625,1,0.90625,1,0.3193075656890869,2,0.96875,10,0.5153841972351074,20,1.0,25,0.7936134338378906,50,1.0,50,1.2790591716766357,100,0.881,0.628,0.711,0.85,0.864,0.887,0.614,0.684,0.846,0.848,0.881,0.628,0.711,0.85,0.864,0.887,0.614,0.684,0.846,0.848,0.848,0.669,0.702,0.838,0.872,0.683,0.528,0.587,0.816,0.894,0.686,0.544,0.606,0.814,0.895,0.825,0.655,0.709,0.838,0.878,0.864,0.662,0.714,0.836,0.86,0.882,0.658,0.712,0.83,0.844,0.7868,0.7758,0.7868,0.7758,0.7858,0.70159996,0.709,0.781,0.7872,0.78519994,0.6806,0.0,0.0,0.0,0.0,0.02599996328353882,0.005199992656707763,0.0,0.0,0.0,0.0,0.041999995708465576,0.008399999141693116,0.0,0.0,0.0,0.0,0.02599996328353882,0.005199992656707763,0.0,0.0,0.0,0.0,0.041999995708465576,0.008399999141693116,0.0,0.0009999871253967285,0.0029999613761901855,0.0059999823570251465,0.025000035762786865,0.006999993324279785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009999871253967285,0.001000046730041504,0.0004000067710876465,0.0,0.0,0.0,0.0040000081062316895,0.014999985694885254,0.0037999987602233888,0.0009999871253967285,0.001999974250793457,0.0040000081062316895,0.007999956607818604,0.034999966621398926,0.00999997854232788,0.001999974250793457,0.009000003337860107,0.011999964714050293,0.012000024318695068,0.046000003814697266,0.016199994087219238
9,0,0.633,0.508,0.566,0.806,0.89,0.8125,False,0.1875,0.12112608640000003,0.18125000000000002,0,0.32675719261169434,0,0.8125,False,0.1875,0.12048608640000003,0.18125000000000002,0,0.326000452041626,0,0.8125,False,0.1875,0.12112608640000003,0.18125000000000002,0,0.3443179130554199,0,0.8125,False,0.1875,0.12048608640000003,0.18125000000000002,0,0.3424386978149414,0,0.78125,6,0.44231724739074707,12,0.625,1,0.011732816696166992,1,0.625,1,0.3242800235748291,2,0.75,10,0.5189361572265625,20,0.78125,25,0.7913527488708496,50,0.78125,50,1.2763755321502686,100,0.881,0.628,0.711,0.85,0.864,0.887,0.614,0.684,0.846,0.848,0.881,0.628,0.711,0.85,0.864,0.887,0.614,0.684,0.846,0.848,0.855,0.664,0.702,0.838,0.862,0.688,0.527,0.59,0.816,0.894,0.696,0.548,0.607,0.814,0.894,0.844,0.658,0.706,0.838,0.866,0.884,0.654,0.712,0.829,0.838,0.906,0.65,0.711,0.828,0.819,0.7868,0.7758,0.7868,0.7758,0.7842001,0.703,0.7118,0.7824,0.7834,0.7828,0.6806,0.0,0.0,0.0,0.0,0.02599996328353882,0.005199992656707763,0.0,0.0,0.0,0.0,0.041999995708465576,0.008399999141693116,0.0,0.0,0.0,0.0,0.02599996328353882,0.005199992656707763,0.0,0.0,0.0,0.0,0.041999995708465576,0.008399999141693116,0.0,0.006000041961669922,0.0029999613761901855,0.0059999823570251465,0.0350000262260437,0.010000002384185792,0.0,0.0009999871253967285,0.0,0.0,0.0,0.0001999974250793457,0.0,0.0,0.0,0.0009999871253967285,0.0020000338554382324,0.0006000041961669922,0.0,0.0,0.003000020980834961,0.0040000081062316895,0.027000010013580322,0.006800007820129394,0.0,0.009999990463256836,0.0059999823570251465,0.014999985694885254,0.05699998140335083,0.017599987983703613,0.0,0.017000019550323486,0.012999951839447021,0.013999998569488525,0.07099997997283936,0.022999989986419677
