step,task,acc_pretrain_T0,acc_pretrain_T1,acc_pretrain_T2,acc_pretrain_T3,acc_pretrain_T4,online_acc_catf_sgd_0.01,repeat_catf_sgd_0.01,times_catf_sgd_0.01,train_batches_catf_sgd_0.01,online_acc_conr1_sgd_0.01,repeat_conr1_sgd_0.01,times_conr1_sgd_0.01,train_batches_conr1_sgd_0.01,online_acc_conr50_sgd_0.01,repeat_conr50_sgd_0.01,times_conr50_sgd_0.01,train_batches_conr50_sgd_0.01,acc_catf_sgd_0.01_T0,acc_catf_sgd_0.01_T1,acc_catf_sgd_0.01_T2,acc_catf_sgd_0.01_T3,acc_catf_sgd_0.01_T4,acc_conr1_sgd_0.01_T0,acc_conr1_sgd_0.01_T1,acc_conr1_sgd_0.01_T2,acc_conr1_sgd_0.01_T3,acc_conr1_sgd_0.01_T4,acc_conr50_sgd_0.01_T0,acc_conr50_sgd_0.01_T1,acc_conr50_sgd_0.01_T2,acc_conr50_sgd_0.01_T3,acc_conr50_sgd_0.01_T4,acc_avg_catf_sgd_0.01,acc_avg_conr1_sgd_0.01,acc_avg_conr50_sgd_0.01,acc_avg_pretrain,forget_catf_sgd_0.01_T0,forget_catf_sgd_0.01_T1,forget_catf_sgd_0.01_T2,forget_catf_sgd_0.01_T3,forget_catf_sgd_0.01_T4,forget_avg_catf_sgd_0.01,forget_conr1_sgd_0.01_T0,forget_conr1_sgd_0.01_T1,forget_conr1_sgd_0.01_T2,forget_conr1_sgd_0.01_T3,forget_conr1_sgd_0.01_T4,forget_avg_conr1_sgd_0.01,forget_conr50_sgd_0.01_T0,forget_conr50_sgd_0.01_T1,forget_conr50_sgd_0.01_T2,forget_conr50_sgd_0.01_T3,forget_conr50_sgd_0.01_T4,forget_avg_conr50_sgd_0.01
0,0,0.88,0.584,0.689,0.852,0.802,0.8125,1,1.2531800270080566,1,0.8125,1,1.5175495147705078,2,0.8125,50,2.3609511852264404,100,0.882,0.584,0.689,0.851,0.803,0.882,0.585,0.692,0.851,0.805,0.894,0.642,0.741,0.851,0.844,0.76180005,0.763,0.79440004,0.7614,0.0,0.0,0.0,0.0009999871253967285,0.0,0.0001999974250793457,0.0,0.0,0.0,0.0009999871253967285,0.0,0.0001999974250793457,0.0,0.0,0.0,0.0009999871253967285,0.0,0.0001999974250793457
1,0,0.88,0.584,0.689,0.852,0.802,0.875,1,0.012454748153686523,1,0.875,1,0.35011863708496094,2,0.84375,50,1.4788100719451904,100,0.884,0.586,0.69,0.851,0.8,0.884,0.588,0.692,0.853,0.806,0.918,0.659,0.742,0.848,0.833,0.7622,0.7646,0.79999995,0.7614,0.0,0.0,0.0,0.0009999871253967285,0.0029999613761901855,0.0007999897003173828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0040000081062316895,0.010999977588653564,0.0029999971389770507
2,0,0.88,0.584,0.689,0.852,0.802,0.875,1,0.013224601745605469,1,0.90625,1,0.34351682662963867,2,0.9375,50,1.4714670181274414,100,0.886,0.586,0.69,0.852,0.801,0.885,0.59,0.694,0.855,0.808,0.916,0.642,0.747,0.846,0.844,0.763,0.7664,0.79899997,0.7614,0.0,0.0,0.0,0.0,0.001999974250793457,0.0003999948501586914,0.0,0.0,0.0,0.0,0.0,0.0,0.001999974250793457,0.01699995994567871,0.0,0.0059999823570251465,0.0,0.004999983310699463
3,0,0.88,0.584,0.689,0.852,0.802,0.96875,1,0.01280665397644043,1,0.96875,1,0.35526180267333984,2,0.96875,50,1.5125868320465088,100,0.886,0.587,0.69,0.853,0.801,0.885,0.591,0.694,0.855,0.807,0.92,0.648,0.74,0.845,0.83,0.76339996,0.7664,0.7966,0.7614,0.0,0.0,0.0,0.0,0.001999974250793457,0.0003999948501586914,0.0,0.0,0.0,0.0,0.001000046730041504,0.00020000934600830078,0.0,0.010999977588653564,0.006999969482421875,0.006999969482421875,0.013999998569488525,0.007799983024597168
4,0,0.88,0.584,0.689,0.852,0.802,0.90625,1,0.012256383895874023,1,0.90625,1,0.34563589096069336,2,0.90625,50,1.4407310485839844,100,0.888,0.584,0.69,0.854,0.801,0.886,0.592,0.696,0.854,0.808,0.924,0.648,0.73,0.84,0.834,0.76339996,0.7672,0.7952,0.7614,0.0,0.003000020980834961,0.0,0.0,0.001999974250793457,0.0009999990463256836,0.0,0.0,0.0,0.001000046730041504,0.0,0.00020000934600830078,0.0,0.010999977588653564,0.01699995994567871,0.012000024318695068,0.009999990463256836,0.009999990463256836
5,0,0.88,0.584,0.689,0.852,0.802,0.90625,1,0.011595487594604492,1,0.90625,1,0.3298482894897461,2,1.0,50,1.3190999031066895,100,0.888,0.582,0.692,0.854,0.802,0.886,0.592,0.699,0.856,0.812,0.922,0.662,0.736,0.835,0.842,0.7636,0.769,0.7994,0.7614,0.0,0.004999995231628418,0.0,0.0,0.0009999871253967285,0.0011999964714050292,0.0,0.0,0.0,0.0,0.0,0.0,0.0020000338554382324,0.0,0.010999977588653564,0.017000019550323486,0.001999974250793457,0.006400001049041748
6,0,0.88,0.584,0.689,0.852,0.802,0.90625,1,0.012323617935180664,1,0.90625,1,0.3163290023803711,2,0.9375,50,1.3301050662994385,100,0.889,0.582,0.692,0.854,0.801,0.886,0.594,0.698,0.856,0.813,0.922,0.655,0.74,0.834,0.845,0.7636,0.7694,0.7992,0.7614,0.0,0.004999995231628418,0.0,0.0,0.001999974250793457,0.001399993896484375,0.0,0.0,0.0009999871253967285,0.0,0.0,0.0001999974250793457,0.0020000338554382324,0.00700002908706665,0.006999969482421875,0.018000006675720215,0.0,0.006800007820129394
7,0,0.88,0.584,0.689,0.852,0.802,0.96875,1,0.011991262435913086,1,0.9375,1,0.3318631649017334,2,0.9375,50,1.3682961463928223,100,0.89,0.582,0.691,0.855,0.799,0.886,0.593,0.698,0.856,0.813,0.925,0.646,0.736,0.834,0.828,0.7634,0.76919997,0.79380006,0.7614,0.0,0.004999995231628418,0.0009999871253967285,0.0,0.003999948501586914,0.001999986171722412,0.0,0.0009999871253967285,0.0009999871253967285,0.0,0.0,0.0003999948501586914,0.0,0.015999972820281982,0.010999977588653564,0.018000006675720215,0.017000019550323486,0.01239999532699585
8,0,0.88,0.584,0.689,0.852,0.802,0.96875,1,0.01183772087097168,1,0.96875,1,0.32404351234436035,2,1.0,50,1.3915083408355713,100,0.89,0.582,0.692,0.854,0.798,0.888,0.591,0.702,0.857,0.814,0.914,0.651,0.734,0.844,0.852,0.7632,0.77040005,0.799,0.7614,0.0,0.004999995231628418,0.0,0.001000046730041504,0.004999995231628418,0.002200007438659668,0.0,0.0029999613761901855,0.0,0.0,0.0,0.0005999922752380372,0.01100003719329834,0.010999977588653564,0.012999951839447021,0.008000016212463379,0.0,0.008599996566772461
9,0,0.88,0.584,0.689,0.852,0.802,1.0,1,0.01154184341430664,1,1.0,1,0.33626556396484375,2,1.0,50,1.2972779273986816,100,0.892,0.58,0.693,0.855,0.8,0.889,0.594,0.704,0.857,0.816,0.926,0.642,0.736,0.839,0.851,0.764,0.772,0.79880005,0.7614,0.0,0.00700002908706665,0.0,0.0,0.0029999613761901855,0.0019999980926513673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019999980926513672,0.010999977588653564,0.013000011444091797,0.0009999871253967285,0.008999991416931152
