Test method=catf_sgd_0.01, batch=0, acc=[0.5, 0.0, 0.0, 0.0, 0.0], avg_acc=0.10000000149011612
Test method=catf_sgd_0.01, batch=1, acc=[0.5, 0.0, 0.0, 0.0, 0.0], avg_acc=0.10000000149011612
Test method=catf_sgd_0.01, batch=2, acc=[0.576, 0.0, 0.0, 0.0, 0.0], avg_acc=0.11500000208616257
Test method=catf_sgd_0.01, batch=3, acc=[0.501, 0.0, 0.0, 0.0, 0.0], avg_acc=0.10000000149011612
Test method=catf_sgd_0.01, batch=4, acc=[0.5, 0.0, 0.0, 0.0, 0.0], avg_acc=0.10000000149011612
Test method=catf_sgd_0.01, batch=5, acc=[0.504, 0.0, 0.0, 0.0, 0.0], avg_acc=0.10100000351667404
Test method=catf_sgd_0.01, batch=6, acc=[0.508, 0.0, 0.0, 0.0, 0.0], avg_acc=0.10199999809265137
Test method=catf_sgd_0.01, batch=7, acc=[0.605, 0.0, 0.0, 0.0, 0.0], avg_acc=0.12099999934434891
Test method=catf_sgd_0.01, batch=8, acc=[0.488, 0.0, 0.0, 0.0, 0.0], avg_acc=0.09799999743700027
Test method=catf_sgd_0.01, batch=9, acc=[0.45, 0.0, 0.0, 0.0, 0.0], avg_acc=0.09000000357627869
Test method=catf_sgd_0.01, batch=10, acc=[0.5, 0.0, 0.0, 0.0, 0.0], avg_acc=0.10000000149011612
Test method=catf_sgd_0.01, batch=11, acc=[0.5, 0.0, 0.0, 0.0, 0.0], avg_acc=0.10000000149011612
Test method=catf_sgd_0.01, batch=12, acc=[0.493, 0.0, 0.0, 0.0, 0.0], avg_acc=0.0989999994635582
Test method=catf_sgd_0.01, batch=13, acc=[0.5, 0.0, 0.0, 0.0, 0.0], avg_acc=0.10000000149011612
Test method=catf_sgd_0.01, batch=14, acc=[0.5, 0.0, 0.0, 0.0, 0.0], avg_acc=0.10000000149011612
Test method=catf_sgd_0.01, batch=15, acc=[0.5, 0.0, 0.0, 0.0, 0.0], avg_acc=0.10000000149011612
Test method=catf_sgd_0.01, batch=16, acc=[0.5, 0.0, 0.0, 0.0, 0.0], avg_acc=0.10000000149011612
Test method=catf_sgd_0.01, batch=17, acc=[0.5, 0.0, 0.0, 0.0, 0.0], avg_acc=0.10000000149011612
Test method=catf_sgd_0.01, batch=18, acc=[0.5, 0.0, 0.0, 0.0, 0.0], avg_acc=0.10000000149011612
Test method=catf_sgd_0.01, batch=19, acc=[0.5, 0.0, 0.0, 0.0, 0.0], avg_acc=0.10000000149011612
Test method=catf_sgd_0.01, batch=20, acc=[0.5, 0.0, 0.0, 0.0, 0.0], avg_acc=0.10000000149011612
Test method=catf_sgd_0.01, batch=21, acc=[0.5, 0.0, 0.0, 0.0, 0.0], avg_acc=0.10000000149011612
Test method=catf_sgd_0.01, batch=22, acc=[0.5, 0.0, 0.0, 0.0, 0.0], avg_acc=0.10000000149011612
Test method=catf_sgd_0.01, batch=23, acc=[0.5, 0.0, 0.0, 0.0, 0.0], avg_acc=0.10000000149011612
Test method=catf_sgd_0.01, batch=24, acc=[0.5, 0.0, 0.0, 0.0, 0.0], avg_acc=0.10000000149011612
Test method=catf_sgd_0.01, batch=25, acc=[0.5, 0.0, 0.0, 0.0, 0.0], avg_acc=0.10000000149011612
Test method=catf_sgd_0.01, batch=26, acc=[0.5, 0.0, 0.0, 0.0, 0.0], avg_acc=0.10000000149011612
Test method=catf_sgd_0.01, batch=27, acc=[0.5, 0.0, 0.0, 0.0, 0.0], avg_acc=0.10000000149011612
