step,task,acc_pretrain_T0,acc_pretrain_T1,acc_pretrain_T2,acc_pretrain_T3,acc_pretrain_T4,online_acc_drifta50_sgd_0.01,detected_drift_drifta50_sgd_0.01,diff_X_t_drifta50_sgd_0.01,Z_t_drifta50_sgd_0.01,p_0t_drifta50_sgd_0.01,repeat_drifta50_sgd_0.01,times_drifta50_sgd_0.01,train_batches_drifta50_sgd_0.01,online_acc_drifta_conv_sgd_0.01,detected_drift_drifta_conv_sgd_0.01,diff_X_t_drifta_conv_sgd_0.01,Z_t_drifta_conv_sgd_0.01,p_0t_drifta_conv_sgd_0.01,repeat_drifta_conv_sgd_0.01,times_drifta_conv_sgd_0.01,train_batches_drifta_conv_sgd_0.01,online_acc_2drifta50_sgd_0.01,detected_drift_2drifta50_sgd_0.01,diff_X_t_2drifta50_sgd_0.01,Z_t_2drifta50_sgd_0.01,p_0t_2drifta50_sgd_0.01,repeat_2drifta50_sgd_0.01,times_2drifta50_sgd_0.01,train_batches_2drifta50_sgd_0.01,online_acc_2drifta_conv_sgd_0.01,detected_drift_2drifta_conv_sgd_0.01,diff_X_t_2drifta_conv_sgd_0.01,Z_t_2drifta_conv_sgd_0.01,p_0t_2drifta_conv_sgd_0.01,repeat_2drifta_conv_sgd_0.01,times_2drifta_conv_sgd_0.01,train_batches_2drifta_conv_sgd_0.01,online_acc_catf_sgd_0.01,repeat_catf_sgd_0.01,times_catf_sgd_0.01,train_batches_catf_sgd_0.01,acc_drifta50_sgd_0.01_T0,acc_drifta50_sgd_0.01_T1,acc_drifta50_sgd_0.01_T2,acc_drifta50_sgd_0.01_T3,acc_drifta50_sgd_0.01_T4,acc_drifta_conv_sgd_0.01_T0,acc_drifta_conv_sgd_0.01_T1,acc_drifta_conv_sgd_0.01_T2,acc_drifta_conv_sgd_0.01_T3,acc_drifta_conv_sgd_0.01_T4,acc_2drifta50_sgd_0.01_T0,acc_2drifta50_sgd_0.01_T1,acc_2drifta50_sgd_0.01_T2,acc_2drifta50_sgd_0.01_T3,acc_2drifta50_sgd_0.01_T4,acc_2drifta_conv_sgd_0.01_T0,acc_2drifta_conv_sgd_0.01_T1,acc_2drifta_conv_sgd_0.01_T2,acc_2drifta_conv_sgd_0.01_T3,acc_2drifta_conv_sgd_0.01_T4,acc_catf_sgd_0.01_T0,acc_catf_sgd_0.01_T1,acc_catf_sgd_0.01_T2,acc_catf_sgd_0.01_T3,acc_catf_sgd_0.01_T4,acc_avg_drifta50_sgd_0.01,acc_avg_drifta_conv_sgd_0.01,acc_avg_2drifta50_sgd_0.01,acc_avg_2drifta_conv_sgd_0.01,acc_avg_catf_sgd_0.01,acc_avg_pretrain,forget_drifta50_sgd_0.01_T0,forget_drifta50_sgd_0.01_T1,forget_drifta50_sgd_0.01_T2,forget_drifta50_sgd_0.01_T3,forget_drifta50_sgd_0.01_T4,forget_avg_drifta50_sgd_0.01,forget_drifta_conv_sgd_0.01_T0,forget_drifta_conv_sgd_0.01_T1,forget_drifta_conv_sgd_0.01_T2,forget_drifta_conv_sgd_0.01_T3,forget_drifta_conv_sgd_0.01_T4,forget_avg_drifta_conv_sgd_0.01,forget_2drifta50_sgd_0.01_T0,forget_2drifta50_sgd_0.01_T1,forget_2drifta50_sgd_0.01_T2,forget_2drifta50_sgd_0.01_T3,forget_2drifta50_sgd_0.01_T4,forget_avg_2drifta50_sgd_0.01,forget_2drifta_conv_sgd_0.01_T0,forget_2drifta_conv_sgd_0.01_T1,forget_2drifta_conv_sgd_0.01_T2,forget_2drifta_conv_sgd_0.01_T3,forget_2drifta_conv_sgd_0.01_T4,forget_avg_2drifta_conv_sgd_0.01,forget_catf_sgd_0.01_T0,forget_catf_sgd_0.01_T1,forget_catf_sgd_0.01_T2,forget_catf_sgd_0.01_T3,forget_catf_sgd_0.01_T4,forget_avg_catf_sgd_0.01
0,0,0.88,0.584,0.689,0.852,0.802,0.8125,False,0.1875,0.037500000000000006,0.1875,0,0.42043566703796387,0,0.8125,False,0.1875,0.037500000000000006,0.1875,0,0.4332249164581299,0,0.8125,False,0.1875,0.037500000000000006,0.1875,0,0.46512794494628906,0,0.8125,False,0.1875,0.037500000000000006,0.1875,0,0.3755307197570801,0,0.8125,1,1.0773370265960693,1,0.88,0.584,0.689,0.852,0.802,0.88,0.584,0.689,0.852,0.802,0.88,0.584,0.689,0.852,0.802,0.88,0.584,0.689,0.852,0.802,0.882,0.584,0.689,0.851,0.803,0.7614,0.7614,0.7614,0.7614,0.76180005,0.7614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009999871253967285,0.0,0.0001999974250793457
1,0,0.88,0.584,0.689,0.852,0.802,0.875,False,-0.0625,0.05500000000000001,0.15625,0,0.32558679580688477,0,0.875,False,-0.0625,0.05500000000000001,0.15625,0,0.3212299346923828,0,0.875,False,-0.0625,0.05500000000000001,0.15625,0,0.3337218761444092,0,0.875,False,-0.0625,0.05500000000000001,0.15625,0,0.32745838165283203,0,0.875,1,0.011888265609741211,1,0.88,0.584,0.689,0.852,0.802,0.88,0.584,0.689,0.852,0.802,0.88,0.584,0.689,0.852,0.802,0.88,0.584,0.689,0.852,0.802,0.884,0.586,0.69,0.851,0.8,0.7614,0.7614,0.7614,0.7614,0.7622,0.7614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009999871253967285,0.0029999613761901855,0.0007999897003173828
2,0,0.88,0.584,0.689,0.852,0.802,0.875,False,0.0,0.069,0.14583333333333331,0,0.3183727264404297,0,0.875,False,0.0,0.069,0.14583333333333331,0,0.31947779655456543,0,0.875,False,0.0,0.069,0.14583333333333331,0,0.3326241970062256,0,0.875,False,0.0,0.069,0.14583333333333331,0,0.3325951099395752,0,0.875,1,0.011471033096313477,1,0.88,0.584,0.689,0.852,0.802,0.88,0.584,0.689,0.852,0.802,0.88,0.584,0.689,0.852,0.802,0.88,0.584,0.689,0.852,0.802,0.886,0.586,0.69,0.852,0.801,0.7614,0.7614,0.7614,0.7614,0.763,0.7614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001999974250793457,0.0003999948501586914
3,0,0.88,0.584,0.689,0.852,0.802,0.96875,False,-0.09375,0.061450000000000005,0.11718749999999999,0,0.3177530765533447,0,0.96875,False,-0.09375,0.061450000000000005,0.11718749999999999,0,0.31473493576049805,0,0.96875,False,-0.09375,0.061450000000000005,0.11718749999999999,0,0.3294970989227295,0,0.96875,True,-0.09375,0.061450000000000005,0.11718749999999999,9,1.8091626167297363,54,0.96875,1,0.010928153991699219,1,0.88,0.584,0.689,0.852,0.802,0.88,0.584,0.689,0.852,0.802,0.88,0.584,0.689,0.852,0.802,0.892,0.613,0.728,0.854,0.823,0.886,0.587,0.69,0.853,0.801,0.7614,0.7614,0.7614,0.78199995,0.76339996,0.7614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001999974250793457,0.0003999948501586914
4,0,0.88,0.584,0.689,0.852,0.802,0.90625,False,0.0625,0.06791000000000001,0.1125,0,0.30971789360046387,0,0.90625,False,0.0625,0.06791000000000001,0.1125,0,0.31078648567199707,0,0.90625,False,0.0625,0.06791000000000001,0.1125,0,0.32496047019958496,0,0.90625,False,0.0625,0.06791000000000001,0.1125,0,0.33127546310424805,0,0.90625,1,0.011918783187866211,1,0.88,0.584,0.689,0.852,0.802,0.88,0.584,0.689,0.852,0.802,0.88,0.584,0.689,0.852,0.802,0.892,0.613,0.728,0.854,0.823,0.888,0.584,0.69,0.854,0.801,0.7614,0.7614,0.7614,0.78199995,0.76339996,0.7614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003000020980834961,0.0,0.0,0.001999974250793457,0.0009999990463256836
5,0,0.88,0.584,0.689,0.852,0.802,0.90625,False,0.0,0.07307800000000002,0.109375,0,0.3370246887207031,0,0.90625,False,0.0,0.07307800000000002,0.109375,0,0.32512950897216797,0,0.90625,False,0.0,0.07307800000000002,0.109375,0,0.3306233882904053,0,0.90625,False,0.0,0.07307800000000002,0.109375,0,0.3320484161376953,0,0.90625,1,0.01102447509765625,1,0.88,0.584,0.689,0.852,0.802,0.88,0.584,0.689,0.852,0.802,0.88,0.584,0.689,0.852,0.802,0.892,0.613,0.728,0.854,0.823,0.888,0.582,0.692,0.854,0.802,0.7614,0.7614,0.7614,0.78199995,0.7636,0.7614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004999995231628418,0.0,0.0,0.0009999871253967285,0.0011999964714050292
6,0,0.88,0.584,0.689,0.852,0.802,0.90625,False,0.0,0.07721240000000001,0.10714285714285714,0,0.3406980037689209,0,0.90625,False,0.0,0.07721240000000001,0.10714285714285714,0,0.3358800411224365,0,0.90625,False,0.0,0.07721240000000001,0.10714285714285714,0,0.32907748222351074,0,0.9375,False,-0.03125,0.07096240000000002,0.10267857142857142,0,0.3332986831665039,0,0.90625,1,0.010913848876953125,1,0.88,0.584,0.689,0.852,0.802,0.88,0.584,0.689,0.852,0.802,0.88,0.584,0.689,0.852,0.802,0.892,0.613,0.728,0.854,0.823,0.889,0.582,0.692,0.854,0.801,0.7614,0.7614,0.7614,0.78199995,0.7636,0.7614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004999995231628418,0.0,0.0,0.001999974250793457,0.001399993896484375
7,0,0.88,0.584,0.689,0.852,0.802,0.90625,False,0.0,0.08051992000000002,0.10546875,0,0.333681583404541,0,0.90625,False,0.0,0.08051992000000002,0.10546875,0,0.3287672996520996,0,0.90625,False,0.0,0.08051992000000002,0.10546875,0,0.3377993106842041,0,0.9375,False,0.0,0.06926992000000003,0.09765625,0,0.34011054039001465,0,0.96875,1,0.010724782943725586,1,0.88,0.584,0.689,0.852,0.802,0.88,0.584,0.689,0.852,0.802,0.88,0.584,0.689,0.852,0.802,0.892,0.613,0.728,0.854,0.823,0.89,0.582,0.691,0.855,0.799,0.7614,0.7614,0.7614,0.78199995,0.7634,0.7614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004999995231628418,0.0009999871253967285,0.0,0.003999948501586914,0.001999986171722412
8,0,0.88,0.584,0.689,0.852,0.802,0.96875,False,-0.0625,0.07066593600000003,0.09722222222222222,0,0.31771206855773926,0,0.96875,False,-0.0625,0.07066593600000003,0.09722222222222222,0,0.3151259422302246,0,0.96875,False,-0.0625,0.07066593600000003,0.09722222222222222,0,0.32495641708374023,0,0.96875,False,-0.03125,0.061665936000000025,0.09027777777777778,0,0.3318164348602295,0,0.96875,1,0.010260343551635742,1,0.88,0.584,0.689,0.852,0.802,0.88,0.584,0.689,0.852,0.802,0.88,0.584,0.689,0.852,0.802,0.892,0.613,0.728,0.854,0.823,0.89,0.582,0.692,0.854,0.798,0.7614,0.7614,0.7614,0.78199995,0.7632,0.7614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004999995231628418,0.0,0.001000046730041504,0.004999995231628418,0.002200007438659668
9,0,0.88,0.584,0.689,0.852,0.802,1.0,False,-0.03125,0.056532748800000025,0.08750000000000001,0,0.3119029998779297,0,1.0,False,-0.03125,0.056532748800000025,0.08750000000000001,0,0.31179261207580566,0,1.0,False,-0.03125,0.056532748800000025,0.08750000000000001,0,0.3320462703704834,0,1.0,False,-0.03125,0.04933274880000002,0.08125,0,0.3261144161224365,0,1.0,1,0.010872840881347656,1,0.88,0.584,0.689,0.852,0.802,0.88,0.584,0.689,0.852,0.802,0.88,0.584,0.689,0.852,0.802,0.892,0.613,0.728,0.854,0.823,0.892,0.58,0.693,0.855,0.8,0.7614,0.7614,0.7614,0.78199995,0.764,0.7614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00700002908706665,0.0,0.0,0.0029999613761901855,0.0019999980926513673
