step,task,acc_pretrain_T0,acc_pretrain_T1,acc_pretrain_T2,acc_pretrain_T3,acc_pretrain_T4,online_acc_catf_sgd_0.01,repeat_catf_sgd_0.01,times_catf_sgd_0.01,train_batches_catf_sgd_0.01,online_acc_conr1_sgd_0.01,repeat_conr1_sgd_0.01,times_conr1_sgd_0.01,train_batches_conr1_sgd_0.01,online_acc_conr50_sgd_0.01,repeat_conr50_sgd_0.01,times_conr50_sgd_0.01,train_batches_conr50_sgd_0.01,acc_catf_sgd_0.01_T0,acc_catf_sgd_0.01_T1,acc_catf_sgd_0.01_T2,acc_catf_sgd_0.01_T3,acc_catf_sgd_0.01_T4,acc_conr1_sgd_0.01_T0,acc_conr1_sgd_0.01_T1,acc_conr1_sgd_0.01_T2,acc_conr1_sgd_0.01_T3,acc_conr1_sgd_0.01_T4,acc_conr50_sgd_0.01_T0,acc_conr50_sgd_0.01_T1,acc_conr50_sgd_0.01_T2,acc_conr50_sgd_0.01_T3,acc_conr50_sgd_0.01_T4,acc_avg_catf_sgd_0.01,acc_avg_conr1_sgd_0.01,acc_avg_conr50_sgd_0.01,acc_avg_pretrain,forget_catf_sgd_0.01_T0,forget_catf_sgd_0.01_T1,forget_catf_sgd_0.01_T2,forget_catf_sgd_0.01_T3,forget_catf_sgd_0.01_T4,forget_avg_catf_sgd_0.01,forget_conr1_sgd_0.01_T0,forget_conr1_sgd_0.01_T1,forget_conr1_sgd_0.01_T2,forget_conr1_sgd_0.01_T3,forget_conr1_sgd_0.01_T4,forget_avg_conr1_sgd_0.01,forget_conr50_sgd_0.01_T0,forget_conr50_sgd_0.01_T1,forget_conr50_sgd_0.01_T2,forget_conr50_sgd_0.01_T3,forget_conr50_sgd_0.01_T4,forget_avg_conr50_sgd_0.01
0,0,0.88,0.584,0.689,0.852,0.802,0.8125,1,1.7849407196044922,1,0.8125,1,1.2898578643798828,2,0.8125,50,2.442080497741699,100,0.882,0.584,0.689,0.851,0.803,0.882,0.586,0.692,0.852,0.804,0.895,0.635,0.743,0.852,0.842,0.76180005,0.7632,0.7934,0.7614,0.0,0.0,0.0,0.0009999871253967285,0.0,0.0001999974250793457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,0.88,0.584,0.689,0.852,0.802,0.875,1,0.011310577392578125,1,0.875,1,0.3694455623626709,2,0.84375,50,1.398993730545044,100,0.884,0.586,0.69,0.851,0.8,0.884,0.588,0.694,0.852,0.804,0.92,0.648,0.746,0.856,0.832,0.7622,0.7644,0.80039996,0.7614,0.0,0.0,0.0,0.0009999871253967285,0.0029999613761901855,0.0007999897003173828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009999990463256836,0.0019999980926513673
2,0,0.88,0.584,0.689,0.852,0.802,0.875,1,0.010879278182983398,1,0.875,1,0.3500254154205322,2,0.9375,50,1.5075774192810059,100,0.886,0.586,0.69,0.852,0.801,0.885,0.59,0.696,0.853,0.807,0.918,0.629,0.752,0.847,0.845,0.763,0.76619995,0.7982,0.7614,0.0,0.0,0.0,0.0,0.001999974250793457,0.0003999948501586914,0.0,0.0,0.0,0.0,0.0,0.0,0.0020000338554382324,0.018999993801116943,0.0,0.009000003337860107,0.0,0.006000006198883056
3,0,0.88,0.584,0.689,0.852,0.802,0.96875,1,0.010639190673828125,1,0.96875,1,0.34384965896606445,2,0.96875,50,1.4098944664001465,100,0.886,0.587,0.69,0.853,0.801,0.885,0.592,0.696,0.854,0.808,0.921,0.644,0.744,0.846,0.832,0.76339996,0.767,0.7974,0.7614,0.0,0.0,0.0,0.0,0.001999974250793457,0.0003999948501586914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0040000081062316895,0.007999956607818604,0.009999990463256836,0.013000011444091797,0.006999993324279785
4,0,0.88,0.584,0.689,0.852,0.802,0.90625,1,0.012756586074829102,1,0.90625,1,0.3511357307434082,2,0.9375,50,1.5195286273956299,100,0.888,0.584,0.69,0.854,0.801,0.884,0.593,0.696,0.852,0.808,0.926,0.636,0.742,0.846,0.828,0.76339996,0.7666,0.7956,0.7614,0.0,0.003000020980834961,0.0,0.0,0.001999974250793457,0.0009999990463256836,0.0009999871253967285,0.0,0.0,0.001999974250793457,0.0,0.0005999922752380372,0.0,0.012000024318695068,0.009999990463256836,0.009999990463256836,0.017000019550323486,0.009800004959106445
5,0,0.88,0.584,0.689,0.852,0.802,0.90625,1,0.012737751007080078,1,0.90625,1,0.35867977142333984,2,1.0,50,1.4912347793579102,100,0.888,0.582,0.692,0.854,0.802,0.886,0.594,0.698,0.854,0.812,0.92,0.65,0.751,0.84,0.844,0.7636,0.7688,0.80099994,0.7614,0.0,0.004999995231628418,0.0,0.0,0.0009999871253967285,0.0011999964714050292,0.0,0.0,0.0,0.0,0.0,0.0,0.0059999823570251465,0.0,0.0009999871253967285,0.016000032424926758,0.001000046730041504,0.0048000097274780275
6,0,0.88,0.584,0.689,0.852,0.802,0.90625,1,0.011209964752197266,1,0.90625,1,0.35268521308898926,2,0.9375,50,1.4221601486206055,100,0.889,0.582,0.692,0.854,0.801,0.886,0.595,0.699,0.855,0.812,0.921,0.65,0.748,0.832,0.844,0.7636,0.7694,0.79899997,0.7614,0.0,0.004999995231628418,0.0,0.0,0.001999974250793457,0.001399993896484375,0.0,0.0,0.0,0.0,0.0,0.0,0.004999995231628418,0.0,0.003999948501586914,0.02399998903274536,0.001000046730041504,0.0067999958992004395
7,0,0.88,0.584,0.689,0.852,0.802,0.96875,1,0.011740684509277344,1,0.9375,1,0.33570170402526855,2,0.9375,50,1.421243667602539,100,0.89,0.582,0.691,0.855,0.799,0.886,0.596,0.7,0.855,0.811,0.923,0.64,0.746,0.84,0.828,0.7634,0.76960003,0.7954,0.7614,0.0,0.004999995231628418,0.0009999871253967285,0.0,0.003999948501586914,0.001999986171722412,0.0,0.0,0.0,0.0,0.0009999871253967285,0.0001999974250793457,0.003000020980834961,0.009999990463256836,0.0059999823570251465,0.016000032424926758,0.017000019550323486,0.010400009155273438
8,0,0.88,0.584,0.689,0.852,0.802,0.96875,1,0.011466503143310547,1,0.96875,1,0.34000134468078613,2,1.0,50,1.3557727336883545,100,0.89,0.582,0.692,0.854,0.798,0.886,0.597,0.702,0.854,0.812,0.913,0.645,0.75,0.85,0.856,0.7632,0.7702,0.8028,0.7614,0.0,0.004999995231628418,0.0,0.001000046730041504,0.004999995231628418,0.002200007438659668,0.0,0.0,0.0,0.001000046730041504,0.0,0.00020000934600830078,0.013000011444091797,0.004999995231628418,0.001999974250793457,0.0059999823570251465,0.0,0.005199992656707763
9,0,0.88,0.584,0.689,0.852,0.802,1.0,1,0.01415872573852539,1,1.0,1,0.34279918670654297,2,1.0,50,1.3781778812408447,100,0.892,0.58,0.693,0.855,0.8,0.887,0.596,0.706,0.855,0.814,0.92,0.644,0.751,0.844,0.856,0.764,0.77160007,0.803,0.7614,0.0,0.00700002908706665,0.0,0.0,0.0029999613761901855,0.0019999980926513673,0.0,0.0009999871253967285,0.0,0.0,0.0,0.0001999974250793457,0.0059999823570251465,0.0059999823570251465,0.0009999871253967285,0.012000024318695068,0.0,0.004999995231628418
